cluster	chr	start	end	strand	nr_ctss	dominant_ctss	tpm	tpm.dominant_ctss	q_0.1	q_0.9	interquantile_width
61	chr2L	199923	199994	+	10	199924	355	74	199924	199993	70
62	chr2L	200117	200119	+	2	200119	32	22	200118	200119	2
63	chr2L	203750	203846	+	27	203800	1264	317	203760	203838	79
64	chr2L	204141	204142	+	1	204142	55	55	204142	204142	1
65	chr2L	206998	207099	+	16	207069	371	104	207015	207085	71
66	chr2L	207360	207496	+	27	207437	693	120	207389	207471	83
67	chr2L	207573	207577	+	3	207576	43	19	207574	207577	4
68	chr2L	207866	207947	+	5	207945	101	34	207867	207947	81
69	chr2L	208187	208305	+	35	208279	2064	444	208209	208289	81
70	chr2L	208494	208509	+	2	208509	54	33	208495	208509	15
71	chr2L	218640	218718	+	9	218696	119	25	218641	218718	78
72	chr2L	224104	224118	+	2	224118	37	27	224105	224118	14
73	chr2L	226206	226231	+	2	226207	49	37	226207	226231	25
74	chr2L	227884	227969	+	14	227969	222	67	227885	227969	85
75	chr2L	228164	228219	+	5	228194	75	21	228165	228219	55
76	chr2L	232433	232557	+	28	232480	241	82	232461	232532	72
77	chr2L	232616	232655	+	3	232655	62	40	232653	232655	3
78	chr2L	233651	233720	+	15	233674	1051	596	233669	233696	28
79	chr2L	247724	247783	+	5	247731	62	16	247725	247783	59
80	chr2L	249377	249406	+	4	249378	81	30	249378	249406	29
81	chr2L	260680	260701	+	2	260701	35	22	260681	260701	21
82	chr2L	262172	262258	+	16	262256	175	38	262208	262256	49
83	chr2L	262354	262358	+	2	262358	27	17	262355	262358	4
84	chr2L	267795	267826	+	2	267796	23	12	267796	267826	31
85	chr2L	269033	269251	+	78	269118	9128	4066	269098	269154	57
86	chr2L	269350	269369	+	4	269360	139	75	269355	269369	15
87	chr2L	269424	269515	+	10	269443	192	43	269439	269478	40
88	chr2L	269571	269581	+	4	269580	16	7	269572	269581	10
89	chr2L	269698	269799	+	6	269799	13	5	269699	269799	101
90	chr2L	270430	270434	+	2	270431	25	14	270431	270434	4
91	chr2L	271097	271214	+	14	271188	431	100	271134	271198	65
92	chr2L	271831	271840	+	2	271832	18	12	271832	271840	9
93	chr2L	273914	273967	+	10	273962	177	60	273939	273962	24
94	chr2L	274121	274218	+	5	274160	175	59	274122	274218	97
95	chr2L	276192	276203	+	2	276203	39	27	276193	276203	11
96	chr2L	276807	276819	+	4	276808	67	20	276808	276819	12
97	chr2L	277553	277585	+	2	277554	10	9	277554	277554	1
98	chr2L	279709	279808	+	26	279719	1344	318	279714	279792	79
99	chr2L	280695	280729	+	4	280727	128	47	280696	280729	34
100	chr2L	282848	282895	+	8	282859	168	69	282849	282890	42
101	chr2L	283339	283340	+	1	283340	67	67	283340	283340	1
102	chr2L	283488	283506	+	2	283506	44	29	283489	283506	18
103	chr2L	283817	283849	+	8	283845	125	38	283821	283845	25
104	chr2L	283897	283968	+	8	283934	344	155	283927	283937	11
105	chr2L	292304	292307	+	2	292307	34	20	292305	292307	3
106	chr2L	292354	292655	+	108	292466	14323	3500	292415	292497	83
107	chr2L	292715	292775	+	7	292746	157	119	292720	292746	27
108	chr2L	292834	292837	+	2	292837	7	6	292835	292837	3
109	chr2L	295086	295274	+	44	295155	2514	359	295109	295185	77
110	chr2L	295341	295382	+	2	295382	37	21	295342	295382	41
111	chr2L	295600	295690	+	8	295648	143	32	295637	295681	45
112	chr2L	296199	296300	+	10	296261	424	151	296200	296267	68
113	chr2L	296548	296565	+	3	296565	50	18	296549	296565	17
114	chr2L	297862	297990	+	22	297903	479	134	297882	297941	60
115	chr2L	301693	301697	+	2	301694	20	10	301694	301697	4
116	chr2L	301751	301754	+	2	301752	49	31	301752	301754	3
117	chr2L	301844	301934	+	18	301881	402	101	301870	301909	40
118	chr2L	305940	305941	+	1	305941	107	107	305941	305941	1
119	chr2L	315273	315287	+	2	315274	30	19	315274	315287	14
120	chr2L	317053	317071	+	2	317054	26	16	317054	317071	18
121	chr2L	318787	318826	+	4	318812	60	17	318788	318826	39
122	chr2L	320428	320476	+	4	320433	119	48	320429	320476	48
123	chr2L	322077	322127	+	3	322078	150	124	322078	322101	24
124	chr2L	322191	322194	+	2	322192	42	31	322192	322194	3
125	chr2L	322509	322594	+	16	322513	364	45	322513	322585	73
126	chr2L	325396	325433	+	4	325397	75	28	325397	325433	37
127	chr2L	329920	329942	+	4	329924	69	25	329921	329942	22
128	chr2L	330125	330155	+	4	330126	69	20	330126	330155	30
129	chr2L	332584	332596	+	2	332596	35	19	332585	332596	12
130	chr2L	333028	333070	+	8	333047	443	243	333029	333047	19
131	chr2L	336884	336939	+	7	336922	207	65	336886	336934	49
132	chr2L	337012	337035	+	2	337013	33	18	337013	337035	23
133	chr2L	337090	337115	+	4	337094	95	35	337091	337115	25
134	chr2L	338430	338532	+	22	338496	1317	396	338461	338496	36
135	chr2L	355665	355670	+	2	355666	2	1	355666	355670	5
136	chr2L	382126	382165	+	2	382165	55	44	382127	382165	39
137	chr2L	386287	386318	+	4	386296	64	27	386288	386318	31
138	chr2L	386962	387095	+	24	387056	1763	543	387019	387081	63
139	chr2L	391096	391117	+	4	391117	49	15	391097	391117	21
140	chr2L	395991	396150	+	29	396082	846	87	395998	396139	142
141	chr2L	404285	404308	+	5	404297	74	30	404286	404308	23
142	chr2L	406539	406670	+	14	406642	577	120	406561	406642	82
143	chr2L	407459	407502	+	9	407490	239	67	407465	407490	26
144	chr2L	412971	412974	+	2	412974	34	22	412972	412974	3
145	chr2L	413207	413277	+	5	413239	84	23	413208	413277	70
146	chr2L	413424	413463	+	3	413425	86	38	413425	413463	39
147	chr2L	414468	414526	+	4	414526	96	53	414469	414526	58
148	chr2L	414779	414863	+	7	414863	169	38	414780	414863	84
149	chr2L	415021	415225	+	24	415172	623	163	415069	415196	128
150	chr2L	415288	415463	+	23	415412	663	91	415333	415412	80
151	chr2L	415552	415579	+	3	415553	34	13	415553	415579	27
152	chr2L	415695	415800	+	7	415736	164	48	415736	415800	65
153	chr2L	416360	416382	+	2	416361	24	12	416361	416382	22
154	chr2L	419899	420051	+	42	419957	15631	4708	419954	419961	8
155	chr2L	420294	420334	+	2	420334	36	20	420295	420334	40
156	chr2L	420375	420417	+	5	420417	41	15	420376	420417	42
157	chr2L	420919	420943	+	3	420920	54	32	420920	420943	24
158	chr2L	421052	421111	+	7	421111	206	97	421055	421111	57
159	chr2L	422390	422486	+	11	422434	444	127	422402	422476	75
160	chr2L	422876	422909	+	3	422877	76	35	422877	422909	33
161	chr2L	422994	423039	+	3	423006	98	47	422995	423039	45
162	chr2L	423417	423422	+	2	423418	45	25	423418	423422	5
163	chr2L	423578	423674	+	10	423589	187	56	423589	423672	84
164	chr2L	423714	423718	+	2	423718	99	75	423715	423718	4
165	chr2L	431040	431047	+	2	431041	25	13	431041	431047	7
166	chr2L	431225	431395	+	15	431227	1173	786	431227	431323	97
167	chr2L	439598	439623	+	2	439599	2	1	439599	439623	25
168	chr2L	445160	445238	+	18	445220	998	386	445182	445233	52
169	chr2L	445474	445496	+	5	445491	154	92	445475	445491	17
170	chr2L	450128	450145	+	2	450129	48	32	450129	450145	17
171	chr2L	453066	453221	+	25	453134	1886	358	453101	453138	38
172	chr2L	453324	453333	+	2	453325	25	13	453325	453333	9
173	chr2L	453814	453899	+	7	453899	171	51	453831	453899	69
174	chr2L	464623	464666	+	3	464624	68	39	464624	464666	43
175	chr2L	472982	473255	+	41	473129	1258	208	473006	473198	193
176	chr2L	473358	473366	+	3	473364	51	19	473359	473366	8
177	chr2L	473844	473848	+	2	473845	69	56	473845	473848	4
178	chr2L	474477	474508	+	2	474508	23	12	474478	474508	31
179	chr2L	481358	481362	+	2	481359	32	19	481359	481362	4
180	chr2L	490830	490838	+	3	490834	146	134	490834	490834	1
181	chr2L	518287	518307	+	2	518288	24	14	518288	518307	20
182	chr2L	533493	533532	+	3	533494	85	33	533494	533532	39
183	chr2L	540987	541015	+	3	541015	41	16	540988	541015	28
184	chr2L	545130	545142	+	5	545131	276	227	545131	545135	5
185	chr2L	545819	545921	+	16	545871	1267	595	545856	545912	57
186	chr2L	545978	546035	+	5	545979	121	60	545979	546029	51
187	chr2L	553279	553333	+	4	553280	133	81	553280	553302	23
188	chr2L	559611	559726	+	27	559677	1681	673	559638	559678	41
189	chr2L	559767	559825	+	4	559771	82	34	559768	559825	58
190	chr2L	559886	559895	+	2	559887	22	11	559887	559895	9
191	chr2L	559941	560115	+	23	560026	1041	212	559998	560050	53
192	chr2L	564137	564274	+	34	564215	2000	882	564193	564238	46
193	chr2L	564457	564521	+	3	564458	82	45	564458	564521	64
194	chr2L	565734	565769	+	2	565735	87	75	565735	565769	35
195	chr2L	565876	565888	+	2	565888	72	62	565877	565888	12
196	chr2L	568315	568400	+	18	568337	402	70	568328	568363	36
197	chr2L	568570	568627	+	9	568609	198	38	568575	568611	37
198	chr2L	568736	568772	+	2	568737	38	25	568737	568772	36
199	chr2L	568983	569023	+	2	569023	21	11	568984	569023	40
200	chr2L	569236	569260	+	3	569260	69	38	569237	569260	24
201	chr2L	569721	569774	+	3	569741	48	22	569722	569774	53
202	chr2L	570571	570626	+	4	570599	64	25	570572	570626	55
203	chr2L	570678	570737	+	5	570692	308	197	570690	570697	8
204	chr2L	571580	571636	+	9	571615	267	125	571612	571627	16
205	chr2L	572045	572138	+	11	572138	228	51	572055	572138	84
206	chr2L	572322	572332	+	3	572323	65	39	572323	572332	10
207	chr2L	574252	574256	+	2	574256	48	25	574253	574256	4
208	chr2L	574481	574586	+	26	574535	648	170	574510	574563	54
209	chr2L	574631	574670	+	3	574632	26	24	574632	574632	1
210	chr2L	574777	574854	+	8	574822	201	58	574778	574836	59
211	chr2L	577267	577290	+	2	577290	75	45	577268	577290	23
212	chr2L	577331	577434	+	8	577332	131	29	577332	577404	73
213	chr2L	577485	577641	+	17	577489	946	647	577489	577578	90
214	chr2L	577829	577934	+	7	577830	130	40	577830	577903	74
215	chr2L	578221	578295	+	16	578255	781	229	578248	578289	42
216	chr2L	578438	578471	+	2	578471	27	14	578439	578471	33
217	chr2L	578526	578543	+	4	578540	112	52	578527	578543	17
218	chr2L	578589	578625	+	10	578618	259	69	578590	578625	36
219	chr2L	588059	588143	+	9	588125	333	124	588063	588127	65
220	chr2L	602794	602816	+	6	602809	76	33	602800	602816	17
221	chr2L	605872	605990	+	16	605979	470	70	605914	605990	77
222	chr2L	615438	615483	+	7	615445	227	146	615445	615472	28
223	chr2L	623227	623231	+	2	623228	36	26	623228	623231	4
224	chr2L	628574	628703	+	19	628682	1107	258	628619	628682	64
225	chr2L	657583	657596	+	3	657594	43	19	657584	657596	13
226	chr2L	658410	658430	+	4	658430	62	20	658411	658430	20
227	chr2L	674365	674370	+	2	674366	23	13	674366	674370	5
228	chr2L	696371	696532	+	25	696484	1555	243	696453	696522	70
229	chr2L	699080	699123	+	4	699093	59	22	699081	699123	43
230	chr2L	710536	710541	+	2	710541	30	16	710537	710541	5
231	chr2L	714940	714943	+	2	714941	40	23	714941	714943	3
232	chr2L	727525	727531	+	3	727531	36	15	727526	727531	6
233	chr2L	727859	727872	+	2	727872	116	104	727860	727872	13
234	chr2L	727912	727936	+	5	727913	90	40	727913	727936	24
235	chr2L	728099	728181	+	14	728158	598	121	728131	728173	43
236	chr2L	728336	728437	+	46	728410	7122	3371	728384	728410	27
237	chr2L	728481	728548	+	8	728482	193	76	728482	728534	53
238	chr2L	728616	728619	+	2	728617	24	22	728617	728617	1
239	chr2L	728664	728684	+	2	728665	2	1	728665	728684	20
240	chr2L	728771	728972	+	20	728878	484	61	728818	728967	150
241	chr2L	729197	729201	+	2	729201	19	11	729198	729201	4
242	chr2L	729286	729328	+	3	729328	8	4	729287	729328	42
243	chr2L	729496	729498	+	2	729497	13	8	729497	729498	2
244	chr2L	729566	729568	+	2	729567	4	2	729567	729568	2
245	chr2L	730011	730013	+	2	730013	31	17	730012	730013	2
246	chr2L	730122	730124	+	2	730124	120	104	730123	730124	2
247	chr2L	730241	730270	+	6	730270	26	8	730251	730270	20
248	chr2L	748440	748472	+	3	748472	55	26	748441	748472	32
249	chr2L	749014	749109	+	18	749098	1043	418	749061	749098	38
250	chr2L	752062	752147	+	11	752108	201	45	752068	752138	71
251	chr2L	754356	754395	+	3	754395	33	13	754357	754395	39
252	chr2L	755805	755825	+	3	755808	76	45	755806	755825	20
253	chr2L	756320	756359	+	3	756321	46	18	756321	756359	39
254	chr2L	756646	756667	+	2	756667	37	24	756647	756667	21
255	chr2L	768129	768141	+	3	768134	48	17	768130	768141	12
256	chr2L	772478	772571	+	9	772479	204	66	772479	772549	71
257	chr2L	773426	773662	+	32	773607	926	110	773473	773607	135
258	chr2L	775942	776011	+	9	776000	288	84	775974	776011	38
259	chr2L	776464	776466	+	2	776465	124	112	776465	776465	1
260	chr2L	778881	778891	+	2	778882	46	31	778882	778891	10
261	chr2L	778934	778939	+	3	778936	541	470	778936	778936	1
262	chr2L	778985	779176	+	29	778990	972	166	778990	779137	148
263	chr2L	779357	779445	+	10	779434	67	32	779384	779445	62
264	chr2L	780550	780570	+	2	780551	20	10	780551	780570	20
265	chr2L	780613	780666	+	6	780626	298	207	780623	780644	22
266	chr2L	781310	781373	+	3	781373	64	28	781311	781373	63
267	chr2L	784304	784398	+	21	784382	182	56	784326	784390	65
268	chr2L	799833	799900	+	12	799885	138	46	799850	799888	39
269	chr2L	804288	804338	+	4	804338	65	26	804289	804338	50
270	chr2L	806472	806480	+	4	806473	129	58	806473	806480	8
271	chr2L	810553	810652	+	18	810568	339	79	810557	810612	56
272	chr2L	810696	810761	+	5	810707	62	16	810697	810761	65
273	chr2L	811582	811618	+	4	811618	98	58	811583	811618	36
274	chr2L	812152	812206	+	3	812153	39	18	812153	812206	54
275	chr2L	812834	812838	+	2	812835	41	31	812835	812838	4
276	chr2L	812897	812932	+	2	812932	64	49	812898	812932	35
277	chr2L	812975	813066	+	8	812976	136	25	812976	813066	91
278	chr2L	815109	815160	+	3	815150	52	22	815110	815160	51
279	chr2L	815204	815240	+	3	815240	66	33	815205	815240	36
280	chr2L	815439	815493	+	7	815440	133	28	815440	815493	54
281	chr2L	816012	816047	+	2	816013	114	103	816013	816013	1
282	chr2L	817101	817141	+	5	817141	81	20	817102	817141	40
283	chr2L	817197	817301	+	11	817223	385	131	817199	817272	74
284	chr2L	817364	817378	+	2	817378	21	11	817365	817378	14
285	chr2L	819881	819986	+	23	819927	745	128	819911	819973	63
286	chr2L	820110	820113	+	2	820113	32	20	820111	820113	3
287	chr2L	820180	820202	+	2	820202	22	12	820181	820202	22
288	chr2L	820373	820437	+	4	820384	75	25	820374	820437	64
289	chr2L	821159	821274	+	16	821160	53	12	821160	821268	109
290	chr2L	821379	821594	+	51	821447	2823	751	821433	821503	71
291	chr2L	823070	823109	+	3	823071	19	7	823071	823109	39
292	chr2L	823693	823735	+	3	823700	52	31	823700	823735	36
293	chr2L	825360	825447	+	10	825436	320	68	825403	825447	45
294	chr2L	825932	826031	+	18	825983	2165	971	825964	825985	22
295	chr2L	827647	827704	+	11	827653	143	30	827651	827704	54
296	chr2L	827914	827967	+	4	827915	44	13	827915	827967	53
297	chr2L	830602	830614	+	4	830603	42	24	830603	830612	10
298	chr2L	831143	831176	+	5	831167	26	19	831161	831167	7
299	chr2L	843046	843049	+	2	843047	46	32	843047	843049	3
300	chr2L	848009	848107	+	7	848107	131	37	848010	848107	98
301	chr2L	849788	849868	+	9	849863	266	122	849793	849868	76
302	chr2L	850669	850782	+	15	850670	262	39	850670	850753	84
303	chr2L	852786	852876	+	17	852803	719	83	852796	852854	59
304	chr2L	853159	853281	+	14	853190	588	101	853169	853281	113
305	chr2L	853684	853716	+	3	853713	59	31	853685	853716	32
306	chr2L	854068	854070	+	2	854069	20	10	854069	854070	2
307	chr2L	855396	855526	+	26	855473	1054	361	855431	855518	88
308	chr2L	855671	855768	+	12	855702	235	33	855694	855768	75
309	chr2L	858114	858145	+	2	858115	2	1	858115	858145	31
310	chr2L	858730	858784	+	6	858731	110	23	858731	858784	54
311	chr2L	864329	864382	+	7	864334	205	63	864330	864369	40
312	chr2L	870465	870513	+	7	870467	352	265	870467	870485	19
313	chr2L	870934	870962	+	5	870943	66	22	870935	870947	13
314	chr2L	871096	871097	+	1	871097	97	97	871097	871097	1
315	chr2L	873277	873296	+	3	873291	59	35	873278	873296	19
316	chr2L	874256	874295	+	4	874291	71	27	874257	874295	39
317	chr2L	876110	876160	+	5	876154	133	54	876111	876160	50
318	chr2L	876282	876337	+	4	876283	76	28	876283	876337	55
319	chr2L	898643	898647	+	2	898647	74	72	898647	898647	1
320	chr2L	903966	904125	+	60	904048	6731	832	903986	904090	105
321	chr2L	905673	905675	+	2	905674	58	43	905674	905675	2
322	chr2L	912389	912421	+	2	912390	2	1	912390	912421	32
323	chr2L	914089	914094	+	3	914090	54	32	914090	914094	5
324	chr2L	917170	917229	+	5	917229	92	29	917171	917229	59
325	chr2L	918120	918127	+	3	918127	66	29	918121	918127	7
326	chr2L	918777	918786	+	2	918786	68	57	918778	918786	9
327	chr2L	928112	928116	+	2	928113	41	26	928113	928116	4
328	chr2L	937914	937920	+	3	937915	33	20	937915	937920	6
329	chr2L	958334	958398	+	4	958373	62	25	958342	958398	57
330	chr2L	958790	958822	+	2	958822	35	24	958791	958822	32
331	chr2L	966613	966618	+	2	966614	94	79	966614	966618	5
332	chr2L	966742	966815	+	17	966773	1095	226	966756	966803	48
333	chr2L	972906	973006	+	17	972941	477	63	972936	972994	59
334	chr2L	991971	992000	+	4	991972	68	31	991972	992000	29
335	chr2L	992140	992182	+	7	992182	150	49	992141	992182	42
336	chr2L	1019048	1019082	+	4	1019082	160	68	1019049	1019082	34
337	chr2L	1024198	1024200	+	2	1024199	45	33	1024199	1024200	2
338	chr2L	1036984	1037026	+	3	1036985	38	15	1036985	1037026	42
339	chr2L	1037201	1037430	+	39	1037253	1679	288	1037250	1037306	57
340	chr2L	1037525	1037529	+	2	1037529	27	14	1037526	1037529	4
341	chr2L	1037581	1037662	+	7	1037661	104	20	1037582	1037662	81
342	chr2L	1038174	1038181	+	2	1038181	37	20	1038175	1038181	7
343	chr2L	1057869	1057872	+	2	1057872	28	16	1057870	1057872	3
344	chr2L	1059906	1059931	+	2	1059931	21	11	1059907	1059931	25
345	chr2L	1062401	1062432	+	2	1062402	9	7	1062402	1062432	31
346	chr2L	1077913	1078029	+	28	1077937	1436	253	1077931	1077998	68
347	chr2L	1080127	1080143	+	2	1080143	41	30	1080128	1080143	16
348	chr2L	1080920	1081182	+	34	1081160	801	169	1080948	1081170	223
349	chr2L	1081235	1081242	+	3	1081239	70	46	1081236	1081242	7
350	chr2L	1084887	1084995	+	12	1084914	280	55	1084888	1084965	78
351	chr2L	1085039	1085042	+	2	1085042	29	17	1085040	1085042	3
352	chr2L	1095335	1095350	+	2	1095336	2	1	1095336	1095350	15
353	chr2L	1102497	1102547	+	3	1102498	172	147	1102498	1102515	18
354	chr2L	1102615	1102649	+	3	1102616	42	18	1102616	1102649	34
355	chr2L	1102724	1102758	+	2	1102758	43	24	1102725	1102758	34
356	chr2L	1103203	1103265	+	6	1103245	70	28	1103204	1103251	48
357	chr2L	1108268	1108290	+	2	1108269	13	8	1108269	1108290	22
358	chr2L	1108622	1108718	+	14	1108718	329	103	1108667	1108718	52
359	chr2L	1113147	1113187	+	2	1113148	23	12	1113148	1113187	40
360	chr2L	1125314	1125328	+	3	1125315	113	68	1125315	1125328	14
361	chr2L	1129232	1129376	+	36	1129320	808	224	1129291	1129350	60
362	chr2L	1130113	1130124	+	2	1130124	89	58	1130114	1130124	11
363	chr2L	1130181	1130216	+	3	1130216	40	19	1130182	1130216	35
364	chr2L	1131261	1131341	+	6	1131315	155	51	1131262	1131341	80
365	chr2L	1132569	1132582	+	2	1132582	44	31	1132570	1132582	13
366	chr2L	1136224	1136230	+	2	1136225	57	40	1136225	1136230	6
367	chr2L	1138599	1138640	+	6	1138612	84	19	1138600	1138640	41
368	chr2L	1141291	1141304	+	3	1141292	42	15	1141292	1141304	13
369	chr2L	1142917	1142919	+	2	1142918	45	35	1142918	1142919	2
370	chr2L	1147823	1147898	+	18	1147853	458	53	1147830	1147898	69
371	chr2L	1147947	1147994	+	4	1147948	52	16	1147948	1147994	47
372	chr2L	1148064	1148091	+	3	1148072	80	49	1148065	1148091	27
373	chr2L	1149870	1149948	+	11	1149903	205	38	1149875	1149926	52
374	chr2L	1150328	1150346	+	3	1150329	63	38	1150329	1150346	18
375	chr2L	1150404	1150409	+	2	1150409	42	23	1150405	1150409	5
376	chr2L	1150728	1150860	+	41	1150774	3792	751	1150768	1150838	71
377	chr2L	1150998	1151159	+	37	1151077	6280	1992	1151034	1151098	65
378	chr2L	1151876	1151885	+	2	1151877	20	15	1151877	1151885	9
379	chr2L	1157793	1157819	+	3	1157796	87	45	1157794	1157819	26
380	chr2L	1158651	1158705	+	11	1158662	177	45	1158662	1158705	44
381	chr2L	1158839	1158919	+	9	1158913	208	48	1158876	1158913	38
382	chr2L	1163802	1163829	+	3	1163803	66	29	1163803	1163829	27
383	chr2L	1164061	1164067	+	2	1164067	37	24	1164062	1164067	6
384	chr2L	1164430	1164486	+	11	1164454	178	41	1164445	1164475	31
385	chr2L	1164653	1164725	+	4	1164725	79	25	1164654	1164725	72
386	chr2L	1165253	1165409	+	12	1165336	200	42	1165280	1165402	123
387	chr2L	1165451	1165525	+	6	1165476	202	73	1165452	1165498	47
388	chr2L	1165626	1165690	+	9	1165642	338	84	1165642	1165690	49
389	chr2L	1165733	1165896	+	18	1165813	781	189	1165808	1165861	54
390	chr2L	1165950	1165982	+	2	1165951	38	25	1165951	1165982	32
391	chr2L	1166477	1166599	+	30	1166532	1047	186	1166516	1166571	56
392	chr2L	1166740	1166744	+	2	1166741	38	28	1166741	1166744	4
393	chr2L	1168293	1168350	+	5	1168322	78	22	1168294	1168350	57
394	chr2L	1169184	1169213	+	2	1169185	22	12	1169185	1169213	29
395	chr2L	1169578	1169609	+	3	1169609	69	44	1169579	1169609	31
396	chr2L	1170155	1170236	+	11	1170209	135	47	1170188	1170222	35
397	chr2L	1170679	1170715	+	2	1170715	31	21	1170680	1170715	36
398	chr2L	1173011	1173058	+	8	1173012	105	19	1173012	1173052	41
399	chr2L	1173221	1173273	+	7	1173240	154	60	1173222	1173271	50
400	chr2L	1173782	1173832	+	5	1173804	102	36	1173783	1173832	50
401	chr2L	1174290	1174321	+	3	1174291	40	18	1174291	1174321	31
402	chr2L	1175576	1175866	+	50	1175646	2826	338	1175646	1175735	90
403	chr2L	1175908	1175926	+	3	1175923	58	28	1175909	1175926	18
404	chr2L	1176188	1176217	+	2	1176189	36	21	1176189	1176217	29
405	chr2L	1176321	1176323	+	2	1176322	24	13	1176322	1176323	2
406	chr2L	1176638	1176680	+	3	1176680	31	11	1176639	1176680	42
407	chr2L	1176793	1176800	+	2	1176794	76	42	1176794	1176800	7
408	chr2L	1177624	1177753	+	22	1177701	586	117	1177654	1177705	52
409	chr2L	1183114	1183127	+	4	1183126	131	47	1183115	1183127	13
410	chr2L	1184045	1184079	+	4	1184079	53	21	1184046	1184079	34
411	chr2L	1184274	1184295	+	2	1184295	21	11	1184275	1184295	21
412	chr2L	1184876	1184915	+	3	1184915	50	23	1184877	1184915	39
413	chr2L	1185894	1185907	+	3	1185897	27	17	1185895	1185897	3
414	chr2L	1186255	1186257	+	2	1186257	47	41	1186256	1186257	2
415	chr2L	1196055	1196057	+	2	1196056	32	17	1196056	1196057	2
416	chr2L	1197429	1197447	+	2	1197447	35	25	1197430	1197447	18
417	chr2L	1197853	1197935	+	19	1197909	657	248	1197886	1197924	39
418	chr2L	1199258	1199353	+	9	1199287	152	39	1199267	1199353	87
419	chr2L	1199421	1199439	+	4	1199422	207	154	1199422	1199433	12
