consensus.cluster	chr	start	end	strand	tpm
155	chr2L	572322	572332	+	65
156	chr2L	574481	574586	+	1742
157	chr2L	574631	574670	+	112
158	chr2L	574777	574854	+	224
159	chr2L	577267	577290	+	75
160	chr2L	577331	577434	+	131
161	chr2L	577485	577641	+	946
162	chr2L	577829	577934	+	130
163	chr2L	578221	578295	+	781
164	chr2L	578526	578543	+	112
165	chr2L	578589	578625	+	260
166	chr2L	588059	588143	+	456
167	chr2L	602794	602816	+	197
168	chr2L	605872	605990	+	547
169	chr2L	615438	615483	+	245
170	chr2L	628574	628703	+	1107
171	chr2L	658410	658430	+	62
172	chr2L	696371	696532	+	1555
173	chr2L	699080	699123	+	59
174	chr2L	727859	727872	+	117
175	chr2L	727912	727936	+	90
176	chr2L	728099	728181	+	607
177	chr2L	728336	728437	+	40431
178	chr2L	728481	728548	+	497
179	chr2L	728616	728619	+	245
180	chr2L	728771	728972	+	746
181	chr2L	729286	729328	+	74
182	chr2L	729496	729498	+	64
183	chr2L	730122	730124	+	212
184	chr2L	730241	730270	+	103
185	chr2L	748440	748472	+	58
186	chr2L	749014	749109	+	1043
187	chr2L	752062	752147	+	202
188	chr2L	755805	755825	+	77
189	chr2L	772478	772571	+	266
190	chr2L	773426	773761	+	61662
191	chr2L	773873	773903	+	50
192	chr2L	775942	776011	+	289
193	chr2L	776464	776466	+	124
194	chr2L	776532	776577	+	2283
195	chr2L	776626	776671	+	120
196	chr2L	778934	778939	+	552
197	chr2L	778985	779177	+	21364
198	chr2L	779224	779230	+	410
199	chr2L	779347	779445	+	994
200	chr2L	780613	780666	+	298
201	chr2L	781310	781373	+	64
202	chr2L	784304	784398	+	3903
203	chr2L	799813	799900	+	505
204	chr2L	804288	804338	+	65
205	chr2L	806472	806480	+	148
206	chr2L	810553	810652	+	1329
207	chr2L	810696	810761	+	69
208	chr2L	811582	811618	+	182
209	chr2L	812897	812932	+	64
210	chr2L	812975	813066	+	136
211	chr2L	815109	815160	+	52
212	chr2L	815204	815240	+	70
213	chr2L	815439	815493	+	135
214	chr2L	816012	816047	+	327
215	chr2L	817101	817141	+	81
216	chr2L	817197	817301	+	388
217	chr2L	819881	819992	+	1514
218	chr2L	820373	820437	+	75
219	chr2L	821159	821594	+	14989
220	chr2L	823070	823109	+	110
221	chr2L	823693	823735	+	192
222	chr2L	823788	823789	+	62
223	chr2L	825360	825447	+	482
224	chr2L	825932	826031	+	2706
225	chr2L	827647	827704	+	405
226	chr2L	830538	830623	+	1134
227	chr2L	831127	831201	+	162
228	chr2L	848009	848107	+	134
229	chr2L	849788	849868	+	339
230	chr2L	850669	850782	+	348
231	chr2L	852786	852876	+	2034
232	chr2L	853159	853281	+	625
233	chr2L	853684	853716	+	59
234	chr2L	855396	855526	+	2294
235	chr2L	855671	855768	+	244
236	chr2L	858730	858784	+	111
237	chr2L	864329	864382	+	206
238	chr2L	870465	870513	+	1136
239	chr2L	870934	870962	+	191
240	chr2L	871096	871097	+	274
241	chr2L	873277	873296	+	59
242	chr2L	874256	874295	+	76
243	chr2L	876110	876160	+	133
244	chr2L	876282	876337	+	76
245	chr2L	898643	898647	+	285
246	chr2L	903966	904125	+	7217
247	chr2L	905673	905675	+	58
248	chr2L	912389	912421	+	59
249	chr2L	914089	914094	+	687
250	chr2L	917170	917229	+	92
251	chr2L	918120	918127	+	66
252	chr2L	918777	918786	+	69
253	chr2L	937914	937920	+	105
254	chr2L	958334	958398	+	95
255	chr2L	966613	966618	+	95
256	chr2L	966742	966815	+	1096
257	chr2L	972906	973006	+	479
258	chr2L	991971	992000	+	68
259	chr2L	992140	992182	+	150
260	chr2L	1019048	1019082	+	199
261	chr2L	1037197	1037430	+	4096
262	chr2L	1037581	1037662	+	130
263	chr2L	1062401	1062432	+	78
264	chr2L	1077913	1078029	+	2232
265	chr2L	1080920	1081182	+	1439
266	chr2L	1081235	1081242	+	70
267	chr2L	1084887	1084995	+	280
268	chr2L	1095335	1095350	+	54
269	chr2L	1102497	1102547	+	173
270	chr2L	1103203	1103265	+	267
271	chr2L	1108622	1108718	+	966
272	chr2L	1125314	1125328	+	113
273	chr2L	1129232	1129376	+	4257
274	chr2L	1130113	1130124	+	89
275	chr2L	1131261	1131341	+	155
276	chr2L	1136224	1136230	+	57
277	chr2L	1138599	1138640	+	84
278	chr2L	1147823	1147898	+	553
279	chr2L	1147947	1147994	+	54
280	chr2L	1148064	1148091	+	81
281	chr2L	1149870	1149948	+	205
282	chr2L	1150328	1150346	+	64
283	chr2L	1150728	1150860	+	6940
284	chr2L	1150998	1151159	+	6464
285	chr2L	1151566	1151567	+	67
286	chr2L	1157793	1157819	+	98
287	chr2L	1158651	1158705	+	664
288	chr2L	1158839	1158919	+	214
289	chr2L	1163802	1163829	+	67
290	chr2L	1164430	1164486	+	376
291	chr2L	1164653	1164725	+	81
292	chr2L	1165253	1165409	+	200
293	chr2L	1165451	1165525	+	202
294	chr2L	1165626	1165690	+	338
295	chr2L	1165733	1165896	+	781
296	chr2L	1166477	1166599	+	2378
297	chr2L	1168293	1168350	+	78
298	chr2L	1169578	1169609	+	78
299	chr2L	1170155	1170236	+	510
300	chr2L	1173011	1173058	+	450
301	chr2L	1173221	1173273	+	177
302	chr2L	1173782	1173832	+	103
303	chr2L	1175576	1175866	+	2835
304	chr2L	1175908	1175926	+	58
305	chr2L	1176793	1176800	+	76
306	chr2L	1177609	1177753	+	2458
307	chr2L	1183114	1183127	+	133
308	chr2L	1184045	1184079	+	82
309	chr2L	1184876	1184915	+	50
310	chr2L	1185894	1185907	+	128
311	chr2L	1186255	1186257	+	321
312	chr2L	1197853	1197935	+	657
313	chr2L	1199258	1199353	+	152
314	chr2L	1199421	1199439	+	254
315	chr2L	1200210	1200237	+	345
316	chr2L	1200830	1200834	+	187
317	chr2L	1219494	1219536	+	82
318	chr2L	1236288	1236331	+	144
319	chr2L	1236482	1236591	+	296
320	chr2L	1239959	1240049	+	423
321	chr2L	1241373	1241374	+	50
322	chr2L	1246337	1246357	+	55
323	chr2L	1256379	1256442	+	853
324	chr2L	1325493	1325526	+	273
325	chr2L	1334099	1334247	+	6319
326	chr2L	1341651	1341669	+	145
327	chr2L	1344376	1344679	+	100324
328	chr2L	1344879	1344881	+	122
329	chr2L	1366782	1366790	+	130
330	chr2L	1367960	1368477	+	14884
331	chr2L	1368702	1368780	+	123
332	chr2L	1369418	1369473	+	111
333	chr2L	1381075	1381182	+	577
334	chr2L	1391289	1391317	+	194
335	chr2L	1414307	1414308	+	149
336	chr2L	1426912	1426949	+	50
337	chr2L	1428458	1428536	+	2368
338	chr2L	1442566	1442677	+	3657
339	chr2L	1442725	1442792	+	312
340	chr2L	1442856	1442874	+	51
341	chr2L	1458231	1458238	+	56
342	chr2L	1468033	1468051	+	63
343	chr2L	1468595	1468671	+	642
344	chr2L	1471210	1471266	+	263
345	chr2L	1475519	1475534	+	50
346	chr2L	1493000	1493043	+	118
347	chr2L	1495594	1495624	+	117
348	chr2L	1496484	1496488	+	108
349	chr2L	1497937	1498002	+	105
350	chr2L	1498249	1498253	+	62
351	chr2L	1510317	1510367	+	473
352	chr2L	1517171	1517207	+	68
353	chr2L	1517249	1517269	+	59
354	chr2L	1528884	1528962	+	355
355	chr2L	1537230	1537272	+	103
356	chr2L	1610436	1610499	+	148
357	chr2L	1611121	1611170	+	78
358	chr2L	1611388	1611454	+	860
359	chr2L	1611631	1611801	+	1799
360	chr2L	1612096	1612157	+	518
361	chr2L	1625014	1625015	+	76
362	chr2L	1651225	1651264	+	3856
363	chr2L	1651631	1651725	+	173
364	chr2L	1651847	1651944	+	416
365	chr2L	1652773	1652775	+	103
366	chr2L	1677977	1678010	+	57
367	chr2L	1687460	1687565	+	937
368	chr2L	1690022	1690168	+	3542
369	chr2L	1690221	1690240	+	121
370	chr2L	1693349	1693396	+	358
371	chr2L	1693872	1693910	+	82
372	chr2L	1694620	1694651	+	100
373	chr2L	1704884	1704978	+	901
374	chr2L	1705131	1705208	+	124
375	chr2L	1710441	1710523	+	3558
376	chr2L	1712061	1712204	+	573
377	chr2L	1726436	1726520	+	136
378	chr2L	1728733	1728807	+	735
379	chr2L	1729777	1729959	+	2678
380	chr2L	1730094	1730208	+	213
381	chr2L	1730385	1730516	+	157
382	chr2L	1730565	1730756	+	506
383	chr2L	1737461	1737470	+	2699
384	chr2L	1752244	1752514	+	11775
385	chr2L	1755399	1755458	+	936
386	chr2L	1793990	1794020	+	52
387	chr2L	1820748	1820783	+	58
388	chr2L	1825490	1825524	+	85
389	chr2L	1828966	1829016	+	313
390	chr2L	1842791	1842835	+	102
391	chr2L	1855516	1855550	+	116
392	chr2L	1869751	1869911	+	10033
393	chr2L	1872628	1872700	+	943
394	chr2L	1875384	1875406	+	66
395	chr2L	1884567	1884747	+	11283
396	chr2L	1911743	1911744	+	329
397	chr2L	1936311	1936396	+	463
398	chr2L	1949208	1949220	+	99
399	chr2L	1951892	1951980	+	674
400	chr2L	1954383	1954393	+	79
401	chr2L	1970184	1970218	+	59
402	chr2L	1970589	1970651	+	51
403	chr2L	1973442	1973523	+	228
404	chr2L	1973903	1973925	+	308
405	chr2L	1974074	1974235	+	3167
406	chr2L	1974281	1974342	+	56
407	chr2L	1980538	1980576	+	61
408	chr2L	1981155	1981373	+	11466
409	chr2L	1981543	1981643	+	203
410	chr2L	1982170	1982273	+	6584
411	chr2L	1982313	1982384	+	263
412	chr2L	1983903	1983908	+	61
413	chr2L	1984004	1984070	+	72
414	chr2L	1985283	1985304	+	54
415	chr2L	1988118	1988119	+	92
416	chr2L	1988250	1988414	+	14746
417	chr2L	1988471	1988501	+	167
418	chr2L	1999979	2000036	+	388
419	chr2L	2009827	2009857	+	219
420	chr2L	2023980	2024054	+	1328
421	chr2L	2027152	2027156	+	54
422	chr2L	2029516	2029519	+	151
423	chr2L	2037697	2037793	+	1518
424	chr2L	2039035	2039046	+	242
425	chr2L	2039919	2039975	+	84
426	chr2L	2040875	2040950	+	286
427	chr2L	2041025	2041045	+	57
428	chr2L	2045457	2045572	+	2752
429	chr2L	2079920	2080061	+	6842
430	chr2L	2080235	2080293	+	56
431	chr2L	2080445	2080476	+	65
432	chr2L	2080697	2080736	+	71
433	chr2L	2081594	2081596	+	56
434	chr2L	2081809	2081815	+	117
435	chr2L	2083286	2083408	+	4385
436	chr2L	2083769	2083915	+	569
437	chr2L	2109653	2109724	+	72
438	chr2L	2130779	2130960	+	6065
439	chr2L	2136202	2136279	+	56
440	chr2L	2146553	2146601	+	205
441	chr2L	2147346	2147393	+	482
442	chr2L	2147502	2147691	+	2838
443	chr2L	2147788	2147856	+	159
444	chr2L	2150862	2150902	+	112
445	chr2L	2151239	2151319	+	308
446	chr2L	2151740	2152118	+	11749
447	chr2L	2155436	2155489	+	144
448	chr2L	2155803	2156037	+	732
449	chr2L	2160611	2160653	+	145
450	chr2L	2188142	2188232	+	327
451	chr2L	2190312	2190435	+	1187
452	chr2L	2213554	2213589	+	89
453	chr2L	2214230	2214303	+	346
454	chr2L	2217033	2217092	+	62
455	chr2L	2217140	2217188	+	156
456	chr2L	2217236	2217377	+	766
457	chr2L	2220718	2220805	+	445
458	chr2L	2221866	2221959	+	755
459	chr2L	2222089	2222195	+	822
460	chr2L	2222627	2222712	+	5569
461	chr2L	2222946	2222957	+	87
462	chr2L	2223178	2223183	+	478
463	chr2L	2223240	2223264	+	88
464	chr2L	2224698	2224763	+	273
465	chr2L	2226361	2226660	+	6832
466	chr2L	2226707	2226815	+	182
467	chr2L	2226896	2227084	+	1234
468	chr2L	2227125	2227135	+	95
469	chr2L	2228534	2228542	+	96
470	chr2L	2228890	2228916	+	183
471	chr2L	2229071	2229155	+	1570
472	chr2L	2229262	2229263	+	83
473	chr2L	2229462	2229466	+	105
474	chr2L	2229749	2229787	+	281
475	chr2L	2230659	2230751	+	178
476	chr2L	2233311	2233373	+	222
477	chr2L	2236161	2236334	+	1728
478	chr2L	2242378	2242379	+	105
479	chr2L	2243689	2243732	+	220
480	chr2L	2243821	2243858	+	215
481	chr2L	2243996	2244029	+	57
482	chr2L	2244642	2244647	+	1095
483	chr2L	2244704	2244739	+	303
484	chr2L	2244798	2244861	+	191
485	chr2L	2245202	2245395	+	22010
486	chr2L	2262117	2262183	+	362
487	chr2L	2263387	2263687	+	26157
488	chr2L	2268617	2268723	+	1269
489	chr2L	2300015	2300216	+	67744
490	chr2L	2302881	2302919	+	213
491	chr2L	2307938	2307945	+	384
492	chr2L	2311041	2311060	+	133
493	chr2L	2311384	2311387	+	81
494	chr2L	2311512	2311609	+	634
495	chr2L	2322898	2322901	+	77
496	chr2L	2333671	2333789	+	174
497	chr2L	2338322	2338389	+	130
498	chr2L	2357560	2357706	+	950
499	chr2L	2365317	2365396	+	1461
500	chr2L	2367722	2367802	+	483
501	chr2L	2374914	2374938	+	55
502	chr2L	2375880	2375883	+	210
503	chr2L	2376119	2376230	+	432
504	chr2L	2381079	2381187	+	660
505	chr2L	2387346	2387429	+	300
506	chr2L	2391595	2391599	+	56
507	chr2L	2395311	2395387	+	232
508	chr2L	2401331	2401372	+	309
509	chr2L	2412839	2412931	+	380
510	chr2L	2420824	2420844	+	135
511	chr2L	2421889	2421996	+	565
512	chr2L	2428371	2428372	+	122
513	chr2L	2451225	2451245	+	1278
514	chr2L	2454737	2454739	+	198
515	chr2L	2489562	2489563	+	55
516	chr2L	2489835	2489905	+	56
517	chr2L	2492867	2492966	+	2644
518	chr2L	2495888	2495889	+	64
519	chr2L	2511973	2512051	+	133
520	chr2L	2542873	2542948	+	94
521	chr2L	2552450	2552455	+	80
522	chr2L	2564239	2564324	+	309
523	chr2L	2564708	2564709	+	59
524	chr2L	2577522	2577543	+	219
525	chr2L	2577679	2577696	+	95
526	chr2L	2580027	2580034	+	73
527	chr2L	2580137	2580173	+	143
528	chr2L	2580261	2580363	+	12071
529	chr2L	2580417	2580455	+	166
530	chr2L	2583033	2583101	+	213
531	chr2L	2591853	2592021	+	1904
532	chr2L	2592116	2592117	+	201
533	chr2L	2603702	2603752	+	138
534	chr2L	2604098	2604165	+	54
535	chr2L	2604493	2604497	+	77
536	chr2L	2609769	2609801	+	107
537	chr2L	2609897	2610245	+	10542
538	chr2L	2610338	2610407	+	205
539	chr2L	2611055	2611059	+	423
540	chr2L	2624423	2624490	+	259
541	chr2L	2645988	2646065	+	1137
542	chr2L	2647151	2647178	+	118
543	chr2L	2647373	2647455	+	146
544	chr2L	2647828	2647951	+	3780
545	chr2L	2653059	2653359	+	22842
546	chr2L	2653436	2653513	+	116
547	chr2L	2655286	2655441	+	27539
548	chr2L	2655616	2655681	+	131
549	chr2L	2658263	2658309	+	214
550	chr2L	2658389	2658457	+	277
551	chr2L	2665021	2665145	+	870
552	chr2L	2665244	2665350	+	241
553	chr2L	2665656	2665660	+	70
554	chr2L	2665864	2665927	+	203
555	chr2L	2671646	2671691	+	77
556	chr2L	2671741	2671799	+	591
557	chr2L	2671861	2671878	+	82
558	chr2L	2672592	2672598	+	51
559	chr2L	2677733	2677734	+	67
560	chr2L	2700137	2700169	+	579
561	chr2L	2704118	2704197	+	581
562	chr2L	2713107	2713213	+	585
563	chr2L	2718354	2718431	+	701
564	chr2L	2725679	2725680	+	119
565	chr2L	2730101	2730130	+	1592
566	chr2L	2735791	2735814	+	426
567	chr2L	2740030	2740132	+	747
568	chr2L	2740491	2740585	+	170
569	chr2L	2740939	2741141	+	2773
570	chr2L	2741181	2741280	+	159
571	chr2L	2744604	2744765	+	330
572	chr2L	2745104	2745136	+	113
573	chr2L	2745189	2745216	+	134
574	chr2L	2745269	2745312	+	65
575	chr2L	2749706	2749736	+	95
576	chr2L	2752800	2752804	+	5965
577	chr2L	2753233	2753265	+	3602
578	chr2L	2753405	2753438	+	190
579	chr2L	2756098	2756151	+	135
580	chr2L	2756267	2756291	+	170
581	chr2L	2759937	2759963	+	100
582	chr2L	2760736	2760783	+	348
583	chr2L	2762795	2762857	+	81
584	chr2L	2766190	2766329	+	4442
585	chr2L	2766478	2766503	+	58
586	chr2L	2767884	2768008	+	2171
587	chr2L	2770061	2770342	+	39734
588	chr2L	2770457	2770525	+	70
589	chr2L	2786229	2786277	+	212
590	chr2L	2797283	2797327	+	868
591	chr2L	2797788	2797888	+	4622
592	chr2L	2808299	2808300	+	92
593	chr2L	2812421	2812521	+	18257
594	chr2L	2835233	2835256	+	79
595	chr2L	2836216	2836277	+	122
596	chr2L	2837353	2837453	+	559
597	chr2L	2841040	2841135	+	99
598	chr2L	2843910	2843965	+	259
599	chr2L	2844116	2844130	+	85
600	chr2L	2844690	2844730	+	88
601	chr2L	2847676	2847721	+	63
602	chr2L	2847979	2847985	+	63
603	chr2L	2848035	2848196	+	3439
604	chr2L	2856045	2856288	+	38664
605	chr2L	2857162	2857194	+	440
606	chr2L	2858448	2858488	+	99
607	chr2L	2859651	2859678	+	104
608	chr2L	2862538	2862539	+	126
609	chr2L	2863374	2863391	+	131
610	chr2L	2866274	2866303	+	134
611	chr2L	2867026	2867075	+	208
612	chr2L	2869306	2869375	+	125
613	chr2L	2869489	2869530	+	139
614	chr2L	2869574	2869665	+	31081
615	chr2L	2869773	2869858	+	353
616	chr2L	2869957	2870001	+	97
617	chr2L	2870083	2870138	+	206
618	chr2L	2874849	2874961	+	645
619	chr2L	2877754	2877849	+	172
620	chr2L	2878302	2878555	+	8696
621	chr2L	2878643	2878701	+	75
622	chr2L	2879112	2879192	+	620
623	chr2L	2879831	2879843	+	57
624	chr2L	2879924	2879973	+	281
625	chr2L	2880043	2880044	+	93
626	chr2L	2885896	2885979	+	3716
627	chr2L	2886227	2886273	+	78
628	chr2L	2888247	2888250	+	104
629	chr2L	2893402	2893497	+	148
630	chr2L	2929562	2929618	+	100
631	chr2L	2929692	2929780	+	97
632	chr2L	2940071	2940228	+	1924
633	chr2L	2946393	2946567	+	1371
634	chr2L	2946739	2946799	+	193
635	chr2L	2948928	2949062	+	5596
636	chr2L	2949336	2949372	+	62
637	chr2L	2949642	2949685	+	132
638	chr2L	2949733	2949823	+	193
639	chr2L	2951548	2951608	+	442
640	chr2L	2954690	2954821	+	985
641	chr2L	2955251	2955294	+	113
642	chr2L	2959106	2959181	+	5396
643	chr2L	2963320	2963649	+	3453
644	chr2L	2968774	2968990	+	1701
645	chr2L	2972213	2972299	+	87
646	chr2L	2972791	2972909	+	1687
647	chr2L	2973161	2973219	+	565
648	chr2L	2973263	2973277	+	58
649	chr2L	2973446	2973459	+	260
650	chr2L	2973529	2973584	+	99
651	chr2L	2974279	2974372	+	229
652	chr2L	2976402	2976412	+	64
653	chr2L	2976520	2976647	+	128
654	chr2L	2976689	2976750	+	60
655	chr2L	2976933	2976988	+	534
656	chr2L	2977041	2977241	+	4735
657	chr2L	2977315	2977355	+	96
658	chr2L	2977610	2977895	+	1862
659	chr2L	2987518	2987562	+	92
660	chr2L	2988016	2988196	+	7506
661	chr2L	2988287	2988435	+	203
662	chr2L	2988564	2988613	+	88
663	chr2L	2991626	2991651	+	96
664	chr2L	2992436	2992468	+	93
665	chr2L	2992827	2993042	+	5296
666	chr2L	2993203	2993234	+	108
667	chr2L	2993305	2993332	+	74
668	chr2L	2993557	2993611	+	165
669	chr2L	2993672	2993673	+	57
670	chr2L	2993818	2993837	+	72
671	chr2L	2994804	2994827	+	56
672	chr2L	2995522	2995574	+	59
673	chr2L	2996667	2996747	+	75
674	chr2L	2999285	2999286	+	198
675	chr2L	3002378	3002479	+	678
676	chr2L	3003042	3003109	+	307
677	chr2L	3012670	3012671	+	53
678	chr2L	3013605	3013637	+	128
679	chr2L	3013908	3013963	+	94
680	chr2L	3018447	3018486	+	72
681	chr2L	3023156	3023315	+	539
682	chr2L	3023562	3023630	+	282
683	chr2L	3023932	3023936	+	85
684	chr2L	3024024	3024039	+	103
685	chr2L	3024095	3024125	+	122
686	chr2L	3027960	3028021	+	87
687	chr2L	3029256	3029258	+	174
688	chr2L	3029718	3029782	+	616
689	chr2L	3030498	3030576	+	873
690	chr2L	3030780	3030813	+	148
691	chr2L	3030923	3031178	+	464
692	chr2L	3031474	3031574	+	265
693	chr2L	3037153	3037223	+	263
694	chr2L	3037417	3037549	+	2547
695	chr2L	3037741	3037818	+	173
696	chr2L	3037877	3037948	+	50
697	chr2L	3037990	3038084	+	203
698	chr2L	3038158	3038180	+	108
699	chr2L	3038432	3038492	+	106
700	chr2L	3040101	3040117	+	305
701	chr2L	3040239	3040272	+	100
702	chr2L	3040462	3040597	+	324
703	chr2L	3040806	3040874	+	85
704	chr2L	3041133	3041198	+	192
705	chr2L	3041343	3041375	+	58
706	chr2L	3042829	3043291	+	100343
707	chr2L	3044693	3044741	+	200
708	chr2L	3052392	3052453	+	150
709	chr2L	3052988	3053030	+	311
710	chr2L	3055193	3055224	+	65
711	chr2L	3056598	3056602	+	2378
712	chr2L	3091103	3091150	+	67
713	chr2L	3106514	3106530	+	87
714	chr2L	3109628	3109698	+	1561
715	chr2L	3111965	3112008	+	300
716	chr2L	3114903	3114907	+	144
717	chr2L	3114974	3114975	+	89
718	chr2L	3127110	3127281	+	364
719	chr2L	3128600	3128760	+	5515
720	chr2L	3148196	3148335	+	379
721	chr2L	3150360	3150439	+	164
722	chr2L	3159902	3160029	+	1044
723	chr2L	3163634	3163808	+	12651
724	chr2L	3163869	3163870	+	191
725	chr2L	3165831	3165931	+	202
726	chr2L	3166410	3166507	+	394
727	chr2L	3173979	3174059	+	753
728	chr2L	3186625	3186683	+	848
729	chr2L	3210499	3210564	+	269
730	chr2L	3226078	3226089	+	53
731	chr2L	3230455	3230514	+	73
732	chr2L	3230853	3230865	+	108
733	chr2L	3268241	3268320	+	1612
734	chr2L	3269657	3269868	+	3314
735	chr2L	3283514	3283576	+	740
736	chr2L	3287681	3287776	+	285
737	chr2L	3291825	3291853	+	170
738	chr2L	3296285	3296325	+	87
739	chr2L	3310568	3310612	+	84
740	chr2L	3318845	3318895	+	67
741	chr2L	3324240	3324251	+	4839
742	chr2L	3333590	3333702	+	328
743	chr2L	3357594	3357986	+	20582
744	chr2L	3358157	3358264	+	178
745	chr2L	3371326	3371414	+	212
746	chr2L	3376099	3376103	+	105
747	chr2L	3376450	3376518	+	88
748	chr2L	3376974	3377108	+	2234
749	chr2L	3377529	3377568	+	285
750	chr2L	3377739	3377790	+	221
751	chr2L	3377853	3377864	+	170
752	chr2L	3390097	3390161	+	126
753	chr2L	3393146	3393147	+	92
754	chr2L	3397990	3398110	+	7214
