cluster	chr	start	end	strand	nr_ctss	dominant_ctss	tpm	tpm.dominant_ctss	q_0.1	q_0.9	interquantile_width
39	chr2L	133765	133803	+	9	133773	57	12	133771	133803	33
40	chr2L	133952	134002	+	22	133995	522	244	133978	134000	23
41	chr2L	134265	134280	+	6	134271	184	141	134270	134271	2
42	chr2L	134447	134472	+	13	134465	228	42	134453	134472	20
43	chr2L	139419	139441	+	3	139435	87	34	139420	139441	22
44	chr2L	144143	144274	+	40	144227	277	30	144156	144236	81
45	chr2L	147485	147493	+	3	147486	37	17	147486	147493	8
46	chr2L	147991	148013	+	3	148013	16	9	147992	148013	22
47	chr2L	155303	155328	+	5	155328	30	22	155309	155328	20
48	chr2L	155500	155580	+	8	155580	66	22	155501	155580	80
49	chr2L	155622	155785	+	47	155763	2538	409	155637	155780	144
50	chr2L	155859	156071	+	167	156030	15483	3727	155886	156030	145
51	chr2L	157575	157684	+	24	157666	508	201	157647	157674	28
52	chr2L	159367	159387	+	9	159384	270	122	159376	159387	12
53	chr2L	159772	159777	+	3	159773	19	8	159773	159777	5
54	chr2L	160098	160219	+	33	160120	488	130	160107	160182	76
55	chr2L	160827	160835	+	3	160835	24	13	160828	160835	8
56	chr2L	162362	162367	+	3	162367	36	31	162366	162367	2
57	chr2L	162418	162455	+	2	162419	24	14	162419	162455	37
58	chr2L	162549	162552	+	2	162552	11	8	162550	162552	3
59	chr2L	162611	162630	+	7	162626	271	213	162626	162630	5
60	chr2L	162915	162919	+	3	162916	22	10	162916	162919	4
61	chr2L	162977	162988	+	3	162988	51	35	162981	162988	8
62	chr2L	164397	164399	+	2	164399	13	12	164399	164399	1
63	chr2L	188844	188879	+	6	188875	75	46	188875	188879	5
64	chr2L	189683	189688	+	2	189688	49	45	189688	189688	1
65	chr2L	189733	189818	+	8	189800	110	28	189770	189818	49
66	chr2L	189952	189956	+	3	189954	62	30	189953	189956	4
67	chr2L	190010	190125	+	31	190125	968	247	190066	190125	60
68	chr2L	190169	190302	+	31	190182	1176	227	190179	190276	98
69	chr2L	190819	190823	+	2	190820	161	156	190820	190820	1
70	chr2L	191036	191042	+	2	191042	71	63	191037	191042	6
71	chr2L	191131	191133	+	2	191133	11	10	191133	191133	1
72	chr2L	191480	191483	+	2	191483	15	14	191483	191483	1
73	chr2L	191857	191865	+	2	191858	11	8	191858	191865	8
74	chr2L	192193	192194	+	1	192194	94	94	192194	192194	1
75	chr2L	192407	192423	+	5	192408	64	25	192408	192414	7
76	chr2L	192499	192532	+	5	192532	251	139	192529	192532	4
77	chr2L	192577	192578	+	1	192578	98	98	192578	192578	1
78	chr2L	193209	193301	+	26	193298	656	245	193224	193301	78
79	chr2L	198783	198785	+	2	198785	47	31	198784	198785	2
80	chr2L	201387	201391	+	2	201388	2	1	201388	201391	4
81	chr2L	201475	201738	+	64	201580	1220	397	201572	201695	124
82	chr2L	201825	201931	+	11	201832	46	11	201826	201931	106
83	chr2L	202840	202866	+	18	202854	689	284	202843	202866	24
84	chr2L	203094	203127	+	5	203103	90	34	203095	203110	16
85	chr2L	203208	203250	+	3	203250	99	66	203248	203250	3
86	chr2L	204716	204785	+	34	204782	856	432	204755	204782	28
87	chr2L	207166	207209	+	8	207199	270	175	207170	207206	37
88	chr2L	208207	208239	+	12	208239	214	86	208217	208239	23
89	chr2L	209862	210048	+	49	210031	352	104	209893	210038	146
90	chr2L	210096	210121	+	2	210097	16	12	210097	210121	25
91	chr2L	210300	210359	+	12	210358	63	31	210346	210358	13
92	chr2L	210435	210512	+	30	210506	171	73	210486	210506	21
93	chr2L	210730	210743	+	4	210731	8	3	210731	210743	13
94	chr2L	219667	219670	+	2	219670	37	28	219668	219670	3
95	chr2L	219721	219739	+	6	219722	133	46	219722	219737	16
96	chr2L	220196	220238	+	10	220238	221	82	220198	220238	41
97	chr2L	223754	223767	+	3	223767	54	22	223755	223767	13
98	chr2L	223878	223915	+	3	223909	121	84	223879	223915	37
99	chr2L	224234	224243	+	3	224237	40	15	224235	224243	9
100	chr2L	224858	224866	+	2	224866	39	26	224859	224866	8
101	chr2L	228551	228588	+	3	228583	87	40	228552	228588	37
102	chr2L	228647	228656	+	3	228648	66	39	228648	228656	9
103	chr2L	229539	229594	+	4	229554	6	3	229540	229594	55
104	chr2L	233086	233105	+	5	233101	159	65	233087	233105	19
105	chr2L	233228	233230	+	2	233230	63	52	233229	233230	2
106	chr2L	233437	233579	+	64	233570	2343	388	233477	233576	100
107	chr2L	233696	234053	+	149	233870	8067	1220	233814	234003	190
108	chr2L	234137	234213	+	33	234211	1360	550	234155	234211	57
109	chr2L	249132	249172	+	5	249136	34	15	249133	249162	30
110	chr2L	249593	249611	+	3	249600	12	6	249594	249611	18
111	chr2L	249800	249807	+	2	249807	5	4	249801	249807	7
112	chr2L	251955	251963	+	3	251956	7	4	251956	251963	8
113	chr2L	254387	254393	+	2	254388	6	3	254388	254393	6
114	chr2L	254987	254989	+	2	254988	2	1	254988	254989	2
115	chr2L	262276	262278	+	2	262278	15	14	262278	262278	1
116	chr2L	262884	262924	+	3	262885	39	16	262885	262924	40
117	chr2L	262993	263009	+	7	263003	363	120	262994	263009	16
118	chr2L	263146	263155	+	3	263150	39	18	263147	263155	9
119	chr2L	263203	263233	+	3	263233	137	98	263232	263233	2
120	chr2L	269739	269754	+	11	269750	298	121	269744	269750	7
121	chr2L	269807	269839	+	3	269808	173	130	269808	269810	3
122	chr2L	269930	270045	+	21	270003	594	278	269977	270009	33
123	chr2L	270146	270175	+	4	270175	60	23	270147	270175	29
124	chr2L	270216	270237	+	6	270219	139	43	270219	270237	19
125	chr2L	270290	270306	+	4	270291	1035	976	270291	270291	1
126	chr2L	271271	271649	+	235	271544	16236	2191	271429	271608	180
127	chr2L	273996	274003	+	3	274002	26	13	274002	274003	2
128	chr2L	274607	274615	+	2	274608	8	6	274608	274615	8
129	chr2L	274679	274769	+	19	274766	283	58	274710	274766	57
130	chr2L	280555	280564	+	2	280556	2	1	280556	280564	9
131	chr2L	281002	281012	+	3	281003	4	2	281003	281012	10
132	chr2L	281059	281072	+	2	281072	7	4	281060	281072	13
133	chr2L	281607	281647	+	6	281608	11	3	281608	281647	40
134	chr2L	281696	281727	+	5	281699	14	5	281697	281727	31
135	chr2L	282165	282168	+	3	282167	56	32	282166	282167	2
136	chr2L	284267	284386	+	28	284378	281	77	284323	284378	56
137	chr2L	292596	292660	+	24	292638	662	118	292616	292660	45
138	chr2L	292738	293230	+	343	293060	72789	11608	292926	293063	138
139	chr2L	293350	293409	+	8	293409	103	24	293376	293409	34
140	chr2L	295968	295972	+	2	295969	45	41	295969	295969	1
141	chr2L	297097	297451	+	255	297406	6307	423	297214	297410	197
142	chr2L	302997	302998	+	1	302998	73	73	302998	302998	1
143	chr2L	303241	303253	+	3	303248	64	44	303242	303253	12
144	chr2L	303355	303388	+	10	303381	55	12	303371	303387	17
145	chr2L	303576	303578	+	2	303577	37	19	303577	303578	2
146	chr2L	303870	303934	+	12	303934	1869	1637	303933	303934	2
147	chr2L	304026	304031	+	3	304031	158	78	304027	304031	5
148	chr2L	304522	304524	+	2	304524	11	9	304523	304524	2
149	chr2L	304667	304680	+	4	304680	228	103	304668	304680	13
150	chr2L	305183	305222	+	10	305219	359	203	305188	305219	32
151	chr2L	306128	306130	+	2	306129	26	15	306129	306130	2
152	chr2L	308544	308568	+	4	308567	90	53	308545	308568	24
153	chr2L	317900	317905	+	2	317901	12	6	317901	317905	5
154	chr2L	319663	319671	+	2	319664	6	5	319664	319671	8
155	chr2L	320277	320287	+	5	320285	357	242	320278	320285	8
156	chr2L	321877	321879	+	2	321878	2	1	321878	321879	2
157	chr2L	323085	323091	+	2	323091	7	4	323086	323091	6
158	chr2L	326069	326109	+	3	326070	14	12	326070	326101	32
159	chr2L	330615	330621	+	5	330616	249	113	330616	330620	5
160	chr2L	333547	333552	+	5	333549	15	5	333548	333552	5
161	chr2L	334541	334544	+	3	334543	58	38	334542	334544	3
162	chr2L	338954	338961	+	4	338959	7	2	338955	338961	7
163	chr2L	341259	341277	+	2	341260	2	1	341260	341277	18
164	chr2L	342779	342789	+	4	342780	9	4	342780	342789	10
165	chr2L	344376	344382	+	2	344377	13	9	344377	344382	6
166	chr2L	346233	346261	+	8	346259	69	41	346255	346260	6
167	chr2L	346459	346486	+	4	346463	15	8	346460	346463	4
168	chr2L	355785	355789	+	2	355789	129	99	355786	355789	4
169	chr2L	356341	356342	+	1	356342	56	56	356342	356342	1
170	chr2L	356660	356661	+	1	356661	79	79	356661	356661	1
171	chr2L	356803	356874	+	18	356863	737	318	356843	356867	25
172	chr2L	357230	357236	+	2	357236	44	30	357231	357236	6
173	chr2L	387432	387439	+	2	387433	4	2	387433	387439	7
174	chr2L	396502	396524	+	6	396505	91	30	396503	396520	18
175	chr2L	396580	396657	+	28	396633	593	142	396586	396651	66
176	chr2L	406995	406997	+	2	406997	4	3	406996	406997	2
177	chr2L	407866	407976	+	27	407969	68	18	407880	407969	90
178	chr2L	413756	413761	+	2	413757	9	6	413757	413761	5
179	chr2L	413988	413990	+	2	413990	27	20	413989	413990	2
180	chr2L	414689	414696	+	2	414696	4	3	414690	414696	7
181	chr2L	417570	417573	+	2	417571	6	3	417571	417573	3
182	chr2L	417643	417843	+	73	417753	290	46	417724	417838	115
183	chr2L	418398	418425	+	9	418416	147	48	418399	418423	25
184	chr2L	420045	420066	+	8	420049	28	9	420049	420066	18
185	chr2L	420128	420147	+	3	420129	32	11	420129	420147	19
186	chr2L	420323	420724	+	222	420697	45529	16560	420605	420697	93
187	chr2L	421638	421702	+	15	421698	74	16	421643	421702	60
188	chr2L	422502	422504	+	2	422504	4	3	422503	422504	2
189	chr2L	422558	422562	+	3	422560	41	21	422559	422562	4
190	chr2L	425291	425363	+	13	425358	56	16	425336	425358	23
191	chr2L	430823	430858	+	3	430824	41	18	430824	430858	35
192	chr2L	431622	431623	+	1	431623	53	53	431623	431623	1
193	chr2L	440040	440132	+	26	440085	833	261	440059	440105	47
194	chr2L	445004	445006	+	2	445006	22	16	445005	445006	2
195	chr2L	447714	447717	+	2	447717	7	4	447715	447717	3
196	chr2L	448296	448342	+	3	448324	8	5	448297	448342	46
197	chr2L	448689	448695	+	3	448695	100	82	448694	448695	2
198	chr2L	453219	453285	+	13	453252	56	32	453242	453273	32
199	chr2L	458678	458723	+	4	458722	21	15	458719	458722	4
200	chr2L	475846	475885	+	3	475864	22	13	475864	475885	22
201	chr2L	475935	475970	+	4	475936	7	3	475936	475970	35
202	chr2L	476117	476177	+	27	476174	719	138	476160	476174	15
203	chr2L	519019	519027	+	2	519020	3	2	519020	519027	8
204	chr2L	540471	540537	+	10	540537	96	21	540493	540537	45
205	chr2L	541416	541418	+	2	541418	6	5	541417	541418	2
206	chr2L	546948	546972	+	4	546972	12	4	546949	546972	24
207	chr2L	547022	547115	+	40	547095	297	93	547039	547096	58
208	chr2L	553090	553096	+	3	553096	12	7	553091	553096	6
209	chr2L	553686	553695	+	3	553691	7	3	553687	553695	9
210	chr2L	560305	560552	+	117	560523	7640	1942	560489	560535	47
211	chr2L	566265	566492	+	107	566474	2817	414	566381	566474	94
212	chr2L	571073	571087	+	2	571074	15	12	571074	571087	14
213	chr2L	571341	571343	+	2	571342	4	2	571342	571343	2
214	chr2L	572485	572508	+	2	572486	4	2	572486	572508	23
215	chr2L	572581	572725	+	57	572716	378	166	572662	572716	55
216	chr2L	572769	572783	+	4	572775	23	18	572770	572775	6
217	chr2L	575327	575333	+	2	575333	17	11	575328	575333	6
218	chr2L	575437	575459	+	4	575454	35	16	575439	575459	21
219	chr2L	575630	575742	+	43	575736	1195	179	575649	575736	88
220	chr2L	579382	579385	+	2	579383	2	1	579383	579385	3
221	chr2L	603556	603562	+	2	603562	17	14	603557	603562	6
222	chr2L	606290	606309	+	3	606309	31	17	606291	606309	19
223	chr2L	606403	606429	+	4	606426	109	56	606417	606426	10
224	chr2L	628939	628978	+	3	628974	6	3	628940	628978	39
225	chr2L	629035	629054	+	3	629054	4	2	629036	629054	19
226	chr2L	728216	728268	+	8	728221	24	8	728217	728257	41
227	chr2L	728435	728480	+	3	728441	13	9	728436	728441	6
228	chr2L	729726	729740	+	2	729727	29	19	729727	729740	14
229	chr2L	730358	730611	+	169	730558	44757	9775	730454	730558	105
230	chr2L	731301	731312	+	2	731312	10	9	731312	731312	1
231	chr2L	757515	757542	+	2	757542	3	2	757516	757542	27
232	chr2L	762111	762142	+	6	762114	13	4	762112	762142	31
233	chr2L	773115	773145	+	2	773116	33	19	773116	773145	30
234	chr2L	773261	773290	+	10	773290	241	123	773269	773290	22
235	chr2L	773688	774100	+	241	774017	47951	7930	773869	774017	149
236	chr2L	776656	776689	+	9	776673	147	27	776662	776680	19
237	chr2L	776740	776946	+	146	776929	15313	4993	776846	776933	88
238	chr2L	779553	779658	+	82	779648	44348	5805	779620	779655	36
239	chr2L	786020	786219	+	122	786215	7583	491	786102	786214	113
240	chr2L	786672	786699	+	7	786699	157	40	786673	786699	27
241	chr2L	788238	788244	+	2	788239	36	23	788239	788244	6
242	chr2L	788903	788914	+	6	788912	133	63	788905	788914	10
243	chr2L	800234	800352	+	38	800343	1947	747	800322	800349	28
244	chr2L	807476	807494	+	2	807494	47	40	807477	807494	18
245	chr2L	811420	811465	+	9	811438	159	78	811424	811462	39
246	chr2L	813330	813383	+	15	813380	125	58	813368	813380	13
247	chr2L	815846	815904	+	7	815904	12	3	815847	815904	58
248	chr2L	817027	817035	+	4	817032	33	25	817031	817035	5
249	chr2L	819984	819995	+	2	819995	42	32	819985	819995	11
250	chr2L	820961	820970	+	2	820962	7	5	820962	820970	9
251	chr2L	821024	821089	+	13	821050	109	28	821031	821076	46
252	chr2L	821204	821211	+	4	821209	64	30	821205	821209	5
253	chr2L	823844	823884	+	2	823845	34	21	823845	823884	40
254	chr2L	823966	824340	+	203	824337	23551	10290	824219	824337	119
255	chr2L	830319	830349	+	2	830349	12	9	830320	830349	30
256	chr2L	830737	830744	+	3	830741	86	34	830738	830744	7
257	chr2L	831864	831876	+	2	831865	24	14	831865	831876	12
258	chr2L	831945	831948	+	2	831948	21	12	831946	831948	3
259	chr2L	831989	832077	+	33	832074	1234	571	832024	832075	52
260	chr2L	832169	832363	+	34	832331	432	77	832221	832363	143
261	chr2L	832453	832459	+	2	832459	28	27	832459	832459	1
262	chr2L	832728	832737	+	8	832731	222	113	832730	832737	8
263	chr2L	833118	833241	+	15	833241	130	46	833128	833241	114
264	chr2L	848943	848980	+	3	848980	4	2	848944	848980	37
265	chr2L	851225	851252	+	10	851252	249	136	851233	851252	20
266	chr2L	854272	854311	+	4	854284	18	7	854273	854297	25
267	chr2L	854353	854551	+	145	854539	5648	1406	854455	854543	89
268	chr2L	856182	856243	+	51	856236	2087	444	856200	856240	41
269	chr2L	856632	856663	+	4	856639	39	28	856639	856643	5
270	chr2L	859457	859492	+	2	859492	3	2	859458	859492	35
271	chr2L	861805	861813	+	2	861806	62	50	861806	861813	8
272	chr2L	870747	870759	+	2	870759	62	52	870748	870759	12
273	chr2L	871220	871223	+	2	871223	57	46	871221	871223	3
274	chr2L	872694	872733	+	6	872725	214	123	872725	872731	7
275	chr2L	874103	874106	+	2	874106	72	56	874104	874106	3
276	chr2L	874148	874154	+	2	874154	29	16	874149	874154	6
277	chr2L	876915	877044	+	28	877038	280	165	876995	877041	47
278	chr2L	901177	901321	+	31	901316	3187	1266	901301	901316	16
279	chr2L	902966	902981	+	2	902967	3	2	902967	902981	15
280	chr2L	904195	904210	+	4	904203	8	3	904196	904210	15
281	chr2L	904321	904357	+	10	904353	67	27	904345	904356	12
282	chr2L	912740	912921	+	31	912903	989	132	912836	912903	68
283	chr2L	917750	917824	+	8	917754	336	130	917754	917812	59
284	chr2L	957648	957715	+	5	957661	14	7	957649	957715	67
285	chr2L	958032	958042	+	4	958033	13	7	958033	958041	9
286	chr2L	958787	958790	+	2	958790	19	16	958788	958790	3
287	chr2L	959402	959409	+	2	959403	13	9	959403	959409	7
288	chr2L	961691	961693	+	2	961693	30	23	961692	961693	2
289	chr2L	973695	973720	+	8	973717	20	10	973698	973717	20
290	chr2L	1008353	1008362	+	4	1008361	5	2	1008354	1008362	9
291	chr2L	1019327	1019336	+	2	1019328	28	22	1019328	1019336	9
292	chr2L	1022222	1022268	+	6	1022268	71	24	1022227	1022268	42
293	chr2L	1023805	1023808	+	2	1023808	20	17	1023806	1023808	3
294	chr2L	1024043	1024045	+	2	1024044	28	17	1024044	1024045	2
295	chr2L	1024534	1024558	+	5	1024557	66	21	1024535	1024558	24
296	chr2L	1038208	1038255	+	3	1038220	15	11	1038209	1038255	47
297	chr2L	1038296	1038536	+	141	1038533	1612	415	1038397	1038533	137
298	chr2L	1059297	1059306	+	2	1059298	9	6	1059298	1059306	9
299	chr2L	1062435	1062436	+	1	1062436	60	60	1062436	1062436	1
300	chr2L	1062685	1062690	+	2	1062690	17	16	1062690	1062690	1
301	chr2L	1063110	1063112	+	2	1063112	5	4	1063111	1063112	2
302	chr2L	1077984	1078003	+	4	1078003	13	8	1077985	1078003	19
303	chr2L	1079354	1079391	+	7	1079358	37	14	1079358	1079391	34
304	chr2L	1080695	1080814	+	63	1080803	449	65	1080733	1080813	81
305	chr2L	1082907	1083049	+	19	1083026	60	15	1082940	1083030	91
306	chr2L	1083137	1083262	+	12	1083226	224	99	1083218	1083226	9
307	chr2L	1083366	1083375	+	3	1083374	68	60	1083374	1083374	1
308	chr2L	1097556	1097586	+	3	1097563	16	8	1097557	1097586	30
309	chr2L	1103179	1103204	+	3	1103203	39	31	1103180	1103203	24
310	chr2L	1103347	1103401	+	13	1103390	1573	856	1103384	1103396	13
311	chr2L	1103478	1103489	+	2	1103489	41	27	1103479	1103489	11
312	chr2L	1105148	1105157	+	6	1105151	326	159	1105151	1105156	6
313	chr2L	1112583	1112698	+	17	1112694	591	275	1112611	1112696	86
314	chr2L	1114137	1114144	+	2	1114138	24	23	1114138	1114138	1
315	chr2L	1120161	1120188	+	2	1120188	8	5	1120162	1120188	27
316	chr2L	1129332	1129392	+	6	1129365	124	52	1129344	1129390	47
317	chr2L	1132105	1132237	+	16	1132237	147	17	1132107	1132237	131
318	chr2L	1132285	1132403	+	75	1132392	3772	809	1132313	1132392	80
319	chr2L	1140918	1140920	+	2	1140919	5	3	1140919	1140920	2
320	chr2L	1147315	1147317	+	2	1147316	6	4	1147316	1147317	2
321	chr2L	1147371	1147396	+	3	1147396	35	23	1147395	1147396	2
322	chr2L	1149387	1149454	+	9	1149449	61	30	1149448	1149449	2
323	chr2L	1151186	1151232	+	4	1151187	14	6	1151187	1151232	46
324	chr2L	1151278	1151639	+	156	1151540	3083	565	1151479	1151590	112
325	chr2L	1152125	1152158	+	7	1152153	370	204	1152126	1152156	31
326	chr2L	1155501	1155506	+	2	1155502	30	19	1155502	1155506	5
327	chr2L	1158755	1158776	+	2	1158776	17	11	1158756	1158776	21
328	chr2L	1160194	1160226	+	10	1160218	519	318	1160218	1160220	3
329	chr2L	1164484	1164525	+	2	1164485	6	5	1164485	1164525	41
330	chr2L	1165716	1165720	+	2	1165720	9	8	1165717	1165720	4
331	chr2L	1166323	1166454	+	33	1166425	98	19	1166327	1166438	112
332	chr2L	1167108	1167223	+	32	1167211	631	231	1167123	1167220	98
333	chr2L	1167271	1167274	+	2	1167274	3	2	1167272	1167274	3
334	chr2L	1169974	1170024	+	8	1170024	22	10	1169981	1170024	44
335	chr2L	1170069	1170079	+	2	1170079	8	7	1170070	1170079	10
336	chr2L	1170776	1170798	+	6	1170789	66	36	1170777	1170798	22
337	chr2L	1171954	1171960	+	2	1171955	4	3	1171955	1171960	6
338	chr2L	1175827	1175832	+	2	1175832	28	27	1175832	1175832	1
339	chr2L	1175903	1175908	+	2	1175908	5	3	1175904	1175908	5
340	chr2L	1177321	1177619	+	114	1177496	593	80	1177345	1177616	272
341	chr2L	1181190	1181243	+	17	1181232	850	365	1181226	1181239	14
342	chr2L	1182294	1182367	+	12	1182367	163	31	1182297	1182367	71
343	chr2L	1182421	1182461	+	7	1182454	332	195	1182448	1182454	7
344	chr2L	1185587	1185700	+	48	1185662	202	21	1185620	1185698	79
345	chr2L	1191158	1191187	+	2	1191159	52	40	1191159	1191187	29
346	chr2L	1196742	1196807	+	8	1196807	119	42	1196791	1196807	17
347	chr2L	1197123	1197153	+	2	1197124	5	4	1197124	1197153	30
348	chr2L	1199163	1199190	+	4	1199185	8	3	1199164	1199190	27
349	chr2L	1199688	1199718	+	8	1199714	40	13	1199709	1199716	8
350	chr2L	1200541	1200580	+	6	1200542	12	4	1200542	1200579	38
351	chr2L	1237031	1237071	+	13	1237061	52	18	1237037	1237071	35
352	chr2L	1242203	1242218	+	12	1242212	786	365	1242205	1242214	10
353	chr2L	1256685	1256743	+	7	1256727	15	6	1256686	1256728	43
354	chr2L	1256893	1256907	+	2	1256894	29	24	1256894	1256907	14
355	chr2L	1294077	1294079	+	2	1294079	3	2	1294078	1294079	2
356	chr2L	1309061	1309068	+	2	1309062	21	11	1309062	1309068	7
357	chr2L	1309159	1309160	+	1	1309160	158	158	1309160	1309160	1
358	chr2L	1334219	1334259	+	7	1334225	62	22	1334222	1334254	33
359	chr2L	1334626	1334762	+	21	1334712	224	28	1334662	1334725	64
360	chr2L	1334835	1334959	+	87	1334926	4207	1041	1334882	1334942	61
361	chr2L	1335641	1335699	+	4	1335699	28	14	1335642	1335699	58
362	chr2L	1344511	1344525	+	2	1344512	43	34	1344512	1344525	14
363	chr2L	1344602	1344639	+	3	1344639	43	30	1344612	1344639	28
364	chr2L	1344764	1345140	+	189	1345135	29169	11759	1345009	1345135	127
365	chr2L	1345417	1345423	+	3	1345419	16	13	1345418	1345419	2
366	chr2L	1349590	1349617	+	3	1349598	3	1	1349591	1349617	27
367	chr2L	1353021	1353036	+	3	1353022	9	5	1353022	1353036	15
368	chr2L	1354106	1354111	+	2	1354107	30	20	1354107	1354111	5
369	chr2L	1368826	1369069	+	112	1369040	5546	2852	1368892	1369040	149
370	chr2L	1370002	1370017	+	2	1370003	3	2	1370003	1370017	15
371	chr2L	1381262	1381328	+	13	1381312	339	84	1381264	1381328	65
372	chr2L	1382669	1382672	+	2	1382670	75	50	1382670	1382672	3
373	chr2L	1396569	1396571	+	2	1396571	15	12	1396570	1396571	2
374	chr2L	1396853	1396855	+	2	1396854	14	8	1396854	1396855	2
375	chr2L	1397969	1398007	+	2	1397970	18	12	1397970	1398007	38
376	chr2L	1399232	1399243	+	3	1399236	16	8	1399233	1399243	11
377	chr2L	1428750	1428798	+	12	1428788	211	30	1428784	1428794	11
378	chr2L	1428857	1428992	+	47	1428981	6715	4964	1428979	1428985	7
379	chr2L	1429035	1429042	+	2	1429036	20	10	1429036	1429042	7
380	chr2L	1429089	1429159	+	13	1429148	555	209	1429135	1429159	25
381	chr2L	1442882	1442948	+	6	1442948	95	30	1442883	1442948	66
382	chr2L	1443003	1443123	+	14	1443112	1016	602	1443016	1443112	97
383	chr2L	1443257	1443326	+	26	1443317	1998	797	1443304	1443322	19
384	chr2L	1443672	1443682	+	2	1443682	33	21	1443673	1443682	10
385	chr2L	1463612	1463614	+	2	1463613	13	8	1463613	1463614	2
386	chr2L	1469664	1469673	+	2	1469673	4	3	1469665	1469673	9
387	chr2L	1489942	1489948	+	2	1489943	3	2	1489943	1489948	6
388	chr2L	1491189	1491203	+	4	1491197	7	2	1491190	1491203	14
389	chr2L	1495412	1495449	+	3	1495449	4	2	1495413	1495449	37
390	chr2L	1500447	1500451	+	2	1500448	11	9	1500448	1500451	4
391	chr2L	1500557	1500617	+	6	1500593	15	7	1500583	1500593	11
392	chr2L	1504221	1504229	+	2	1504222	32	27	1504222	1504229	8
393	chr2L	1518458	1518460	+	2	1518460	87	61	1518459	1518460	2
394	chr2L	1529106	1529113	+	2	1529113	5	4	1529107	1529113	7
395	chr2L	1532975	1532980	+	2	1532976	7	5	1532976	1532980	5
396	chr2L	1553885	1553891	+	2	1553891	39	32	1553886	1553891	6
397	chr2L	1553933	1553956	+	3	1553956	62	36	1553953	1553956	4
398	chr2L	1556574	1556593	+	3	1556582	36	21	1556582	1556593	12
399	chr2L	1556684	1556685	+	1	1556685	54	54	1556685	1556685	1
400	chr2L	1608403	1608406	+	2	1608404	11	8	1608404	1608406	3
401	chr2L	1611095	1611100	+	2	1611100	3	2	1611096	1611100	5
402	chr2L	1611272	1611274	+	2	1611274	9	8	1611273	1611274	2
403	chr2L	1612180	1612188	+	2	1612181	7	6	1612181	1612188	8
404	chr2L	1612292	1612316	+	2	1612316	5	4	1612293	1612316	24
405	chr2L	1612379	1612584	+	109	1612563	491	45	1612406	1612563	158
406	chr2L	1652936	1653189	+	40	1653039	655	331	1652970	1653186	217
407	chr2L	1653347	1653556	+	66	1653511	1100	292	1653473	1653532	60
408	chr2L	1653677	1653755	+	7	1653733	132	55	1653678	1653733	56
409	chr2L	1653818	1653832	+	3	1653821	27	14	1653819	1653832	14
410	chr2L	1677543	1677544	+	1	1677544	75	75	1677544	1677544	1
411	chr2L	1688072	1688073	+	1	1688073	59	59	1688073	1688073	1
412	chr2L	1690412	1690476	+	21	1690475	156	45	1690421	1690476	56
