consensus.cluster	chr	start	end	strand	tpm
283	chr2L	859409	859410	+	84
284	chr2L	859457	859492	+	53
285	chr2L	859589	859609	+	106
286	chr2L	861805	861813	+	137
287	chr2L	870747	870759	+	93
288	chr2L	871220	871223	+	87
289	chr2L	872694	872733	+	523
290	chr2L	874103	874106	+	156
291	chr2L	876915	877044	+	2373
292	chr2L	901177	901321	+	3602
293	chr2L	902966	903010	+	53
294	chr2L	904151	904217	+	458
295	chr2L	904313	904363	+	7604
296	chr2L	906026	906029	+	82
297	chr2L	908936	908943	+	80
298	chr2L	910045	910058	+	72
299	chr2L	912740	912921	+	1004
300	chr2L	917750	917824	+	519
301	chr2L	918427	918440	+	100
302	chr2L	931215	931218	+	86
303	chr2L	957648	957715	+	130
304	chr2L	958032	958042	+	120
305	chr2L	959402	959409	+	156
306	chr2L	961691	961693	+	82
307	chr2L	973670	973724	+	3565
308	chr2L	992465	992500	+	239
309	chr2L	992565	992566	+	54
310	chr2L	1008353	1008363	+	105
311	chr2L	1019327	1019336	+	94
312	chr2L	1022222	1022268	+	243
313	chr2L	1024534	1024558	+	181
314	chr2L	1038203	1038255	+	90
315	chr2L	1038296	1038536	+	11614
316	chr2L	1059431	1059448	+	63
317	chr2L	1060444	1060445	+	60
318	chr2L	1061021	1061023	+	64
319	chr2L	1062435	1062436	+	189
320	chr2L	1062685	1062690	+	74
321	chr2L	1063110	1063112	+	56
322	chr2L	1069686	1069695	+	106
323	chr2L	1077984	1078003	+	224
324	chr2L	1079354	1079391	+	229
325	chr2L	1080693	1080814	+	3704
326	chr2L	1082904	1083049	+	1114
327	chr2L	1083137	1083262	+	713
328	chr2L	1083366	1083375	+	166
329	chr2L	1085353	1085487	+	884
330	chr2L	1097556	1097586	+	166
331	chr2L	1103179	1103204	+	155
332	chr2L	1103347	1103401	+	2540
333	chr2L	1105148	1105157	+	591
334	chr2L	1112583	1112698	+	1227
335	chr2L	1114137	1114144	+	222
336	chr2L	1120155	1120188	+	137
337	chr2L	1129332	1129392	+	244
338	chr2L	1132105	1132237	+	324
339	chr2L	1132285	1132403	+	7829
340	chr2L	1140058	1140080	+	55
341	chr2L	1141785	1141786	+	137
342	chr2L	1147371	1147396	+	337
343	chr2L	1149387	1149454	+	920
344	chr2L	1150731	1150737	+	144
345	chr2L	1151183	1151232	+	118
346	chr2L	1151278	1151639	+	18298
347	chr2L	1152125	1152158	+	573
348	chr2L	1158535	1158539	+	84
349	chr2L	1160194	1160226	+	2036
350	chr2L	1164465	1164525	+	98
351	chr2L	1165716	1165720	+	136
352	chr2L	1166195	1166214	+	54
353	chr2L	1166291	1166460	+	4138
354	chr2L	1167108	1167223	+	2156
355	chr2L	1169974	1170029	+	433
356	chr2L	1170069	1170079	+	143
357	chr2L	1170776	1170798	+	252
358	chr2L	1175827	1175832	+	617
359	chr2L	1176332	1176333	+	79
360	chr2L	1177321	1177619	+	9244
361	chr2L	1181190	1181243	+	1835
362	chr2L	1182294	1182367	+	347
363	chr2L	1182421	1182461	+	751
364	chr2L	1185450	1185456	+	87
365	chr2L	1185587	1185704	+	2634
366	chr2L	1191158	1191187	+	63
367	chr2L	1196742	1196807	+	324
368	chr2L	1197123	1197153	+	72
369	chr2L	1197781	1197792	+	86
370	chr2L	1198465	1198477	+	131
371	chr2L	1199146	1199190	+	540
372	chr2L	1199672	1199718	+	530
373	chr2L	1200541	1200580	+	364
374	chr2L	1229801	1229802	+	296
375	chr2L	1236444	1236445	+	50
376	chr2L	1237002	1237071	+	1095
377	chr2L	1241832	1241833	+	92
378	chr2L	1242203	1242218	+	5019
379	chr2L	1246944	1246992	+	132
380	chr2L	1256685	1256743	+	165
381	chr2L	1294077	1294100	+	185
382	chr2L	1294300	1294301	+	52
383	chr2L	1294519	1294570	+	75
384	chr2L	1294680	1294721	+	62
385	chr2L	1309159	1309160	+	205
386	chr2L	1323849	1323862	+	108
387	chr2L	1326227	1326228	+	68
388	chr2L	1334208	1334270	+	272
389	chr2L	1334626	1334762	+	606
390	chr2L	1334827	1334959	+	11091
391	chr2L	1335184	1335185	+	80
392	chr2L	1335641	1335699	+	289
393	chr2L	1344511	1344525	+	105
394	chr2L	1344585	1344639	+	132
395	chr2L	1344764	1345140	+	44435
396	chr2L	1345417	1345423	+	324
397	chr2L	1349590	1349617	+	79
398	chr2L	1353016	1353036	+	145
399	chr2L	1354106	1354111	+	91
400	chr2L	1368826	1369069	+	13278
401	chr2L	1370002	1370056	+	109
402	chr2L	1381262	1381328	+	346
403	chr2L	1382669	1382672	+	79
404	chr2L	1387380	1387382	+	58
405	chr2L	1393121	1393140	+	126
406	chr2L	1399232	1399243	+	121
407	chr2L	1414605	1414640	+	127
408	chr2L	1414832	1414868	+	208
409	chr2L	1415117	1415201	+	237
410	chr2L	1428475	1428483	+	63
411	chr2L	1428750	1428798	+	214
412	chr2L	1428857	1428992	+	6854
413	chr2L	1429089	1429159	+	582
414	chr2L	1442882	1442948	+	105
415	chr2L	1443003	1443123	+	1169
416	chr2L	1443257	1443326	+	2324
417	chr2L	1458558	1458562	+	57
418	chr2L	1469060	1469162	+	523
419	chr2L	1469663	1469673	+	311
420	chr2L	1471595	1471665	+	624
421	chr2L	1474955	1474959	+	107
422	chr2L	1489942	1489948	+	55
423	chr2L	1491178	1491203	+	99
424	chr2L	1493647	1493652	+	51
425	chr2L	1495412	1495456	+	157
426	chr2L	1495936	1495944	+	113
427	chr2L	1497042	1497080	+	498
428	chr2L	1498554	1498615	+	146
429	chr2L	1500447	1500451	+	87
430	chr2L	1500557	1500617	+	264
431	chr2L	1512121	1512143	+	72
432	chr2L	1518458	1518460	+	214
433	chr2L	1529070	1529113	+	1280
434	chr2L	1553885	1553956	+	241
435	chr2L	1556684	1556685	+	107
436	chr2L	1611095	1611115	+	119
437	chr2L	1612379	1612587	+	5468
438	chr2L	1652923	1653191	+	2764
439	chr2L	1653329	1653556	+	4553
440	chr2L	1653677	1653755	+	961
441	chr2L	1677543	1677544	+	159
442	chr2L	1688072	1688073	+	87
443	chr2L	1690412	1690476	+	1010
444	chr2L	1696974	1696975	+	203
445	chr2L	1697032	1697214	+	2073
446	chr2L	1697289	1697540	+	3511
447	chr2L	1697650	1697691	+	154
448	chr2L	1697781	1697859	+	2329
449	chr2L	1698322	1698379	+	109
450	chr2L	1698597	1698621	+	1815
451	chr2L	1698767	1698813	+	72
452	chr2L	1700079	1700135	+	107
453	chr2L	1700629	1700634	+	411
454	chr2L	1700731	1700752	+	383
455	chr2L	1700878	1700897	+	308
456	chr2L	1702098	1702101	+	87
457	chr2L	1703184	1703189	+	156
458	chr2L	1704940	1704941	+	72
459	chr2L	1705082	1705098	+	227
460	chr2L	1706711	1706779	+	1516
461	chr2L	1706890	1706962	+	1433
462	chr2L	1709135	1709142	+	116
463	chr2L	1711289	1711395	+	3710
464	chr2L	1712521	1712578	+	545
465	chr2L	1715823	1715825	+	90
466	chr2L	1727021	1727026	+	77
467	chr2L	1727929	1727936	+	163
468	chr2L	1729556	1729581	+	1043
469	chr2L	1730927	1731073	+	8493
470	chr2L	1737650	1737775	+	3069
471	chr2L	1750600	1750615	+	519
472	chr2L	1752210	1752244	+	154
473	chr2L	1752603	1752875	+	6146
474	chr2L	1756518	1756579	+	793
475	chr2L	1826204	1826220	+	136
476	chr2L	1829923	1829981	+	652
477	chr2L	1844811	1844814	+	53
478	chr2L	1856950	1856978	+	499
479	chr2L	1870221	1870317	+	1143
480	chr2L	1870362	1870382	+	1001
481	chr2L	1870443	1870444	+	180
482	chr2L	1870834	1871103	+	12494
483	chr2L	1873183	1873197	+	87
484	chr2L	1873257	1873267	+	105
485	chr2L	1873357	1873441	+	1296
486	chr2L	1873535	1873568	+	577
487	chr2L	1884820	1884972	+	7863
488	chr2L	1885083	1885280	+	7500
489	chr2L	1909774	1909822	+	118
490	chr2L	1909943	1909991	+	745
491	chr2L	1927837	1927838	+	69
492	chr2L	1928162	1928163	+	164
493	chr2L	1937528	1937529	+	77
494	chr2L	1942990	1943177	+	5664
495	chr2L	1943273	1943309	+	183
496	chr2L	1943455	1943461	+	322
497	chr2L	1943938	1943947	+	261
498	chr2L	1945157	1945158	+	60
499	chr2L	1949678	1949740	+	258
500	chr2L	1952914	1952922	+	168
501	chr2L	1952987	1953121	+	1323
502	chr2L	1972195	1972356	+	638
503	chr2L	1974142	1974237	+	1429
504	chr2L	1975158	1975177	+	85
505	chr2L	1975231	1975453	+	10956
506	chr2L	1981783	1981832	+	103
507	chr2L	1981896	1982100	+	32409
508	chr2L	1982294	1982303	+	57
509	chr2L	1984075	1984097	+	92
510	chr2L	1984208	1984522	+	9949
511	chr2L	1985740	1985748	+	53
512	chr2L	1988724	1988963	+	29774
513	chr2L	2008966	2009026	+	664
514	chr2L	2024376	2024399	+	81
515	chr2L	2030071	2030308	+	1351
516	chr2L	2030467	2030547	+	2547
517	chr2L	2030631	2030683	+	734
518	chr2L	2030728	2030787	+	1942
519	chr2L	2037987	2038058	+	370
520	chr2L	2039119	2039123	+	100
521	chr2L	2042484	2042486	+	91
522	chr2L	2043341	2043462	+	454
523	chr2L	2043650	2043679	+	431
524	chr2L	2046180	2046349	+	1073
525	chr2L	2047050	2047125	+	1639
526	chr2L	2047936	2047990	+	334
527	chr2L	2048047	2048055	+	97
528	chr2L	2058123	2058129	+	77
529	chr2L	2071068	2071074	+	52
530	chr2L	2074797	2074814	+	77
531	chr2L	2080031	2080062	+	1789
532	chr2L	2080173	2080178	+	123
533	chr2L	2080970	2081066	+	363
534	chr2L	2081134	2081307	+	10228
535	chr2L	2082038	2082040	+	141
536	chr2L	2082386	2082460	+	239
537	chr2L	2083780	2083886	+	795
538	chr2L	2084063	2084091	+	157
539	chr2L	2084155	2084419	+	4650
540	chr2L	2098861	2098878	+	223
541	chr2L	2136865	2137047	+	10221
542	chr2L	2137098	2137140	+	384
543	chr2L	2137186	2137299	+	6984
544	chr2L	2147439	2147502	+	1026
545	chr2L	2149669	2149674	+	387
546	chr2L	2151418	2151470	+	237
547	chr2L	2151518	2151693	+	3055
548	chr2L	2151803	2151842	+	140
549	chr2L	2151942	2151949	+	212
550	chr2L	2153038	2153044	+	92
551	chr2L	2154826	2154908	+	686
552	chr2L	2154963	2155133	+	15092
553	chr2L	2155179	2155282	+	2392
554	chr2L	2155383	2155390	+	256
555	chr2L	2156252	2156256	+	226
556	chr2L	2156543	2156545	+	132
557	chr2L	2156723	2156791	+	1099
558	chr2L	2161748	2161784	+	237
559	chr2L	2161853	2161922	+	434
560	chr2L	2162050	2162053	+	131
561	chr2L	2188591	2188638	+	585
562	chr2L	2191103	2191277	+	2764
563	chr2L	2214150	2214170	+	144
564	chr2L	2215165	2215170	+	736
565	chr2L	2220532	2220646	+	1476
566	chr2L	2222176	2222281	+	308
567	chr2L	2225275	2225574	+	11734
568	chr2L	2226564	2226584	+	205
569	chr2L	2226675	2226886	+	4393
570	chr2L	2226931	2226983	+	3829
571	chr2L	2229270	2229394	+	4770
572	chr2L	2230132	2230240	+	2346
573	chr2L	2230303	2230424	+	4165
574	chr2L	2230875	2231017	+	8149
575	chr2L	2231063	2231172	+	1447
576	chr2L	2234025	2234097	+	746
577	chr2L	2236596	2236612	+	270
578	chr2L	2237013	2237107	+	756
579	chr2L	2244411	2244422	+	579
580	chr2L	2245205	2245215	+	185
581	chr2L	2245269	2245293	+	146
582	chr2L	2245333	2245358	+	381
583	chr2L	2245411	2245495	+	4426
584	chr2L	2245546	2245719	+	10035
585	chr2L	2245809	2245909	+	2974
586	chr2L	2246005	2246045	+	259
587	chr2L	2246352	2246362	+	288
588	chr2L	2247610	2247615	+	126
589	chr2L	2253887	2253888	+	108
590	chr2L	2262479	2262518	+	72
591	chr2L	2263540	2263549	+	133
592	chr2L	2263943	2264043	+	1036
593	chr2L	2264098	2264243	+	52559
594	chr2L	2265337	2265339	+	56
595	chr2L	2269148	2269194	+	175
596	chr2L	2269406	2269411	+	96
597	chr2L	2269504	2269512	+	51
598	chr2L	2285031	2285072	+	59
599	chr2L	2289317	2289321	+	243
600	chr2L	2289422	2289423	+	56
601	chr2L	2291342	2291375	+	586
602	chr2L	2292866	2292899	+	132
603	chr2L	2299443	2299447	+	111
604	chr2L	2300151	2300184	+	451
605	chr2L	2300470	2301133	+	87288
606	chr2L	2303030	2303262	+	3272
607	chr2L	2308679	2308680	+	104
608	chr2L	2310639	2310656	+	51
609	chr2L	2311484	2311529	+	205
610	chr2L	2311859	2311924	+	1666
611	chr2L	2318612	2318628	+	116
612	chr2L	2323463	2323466	+	283
613	chr2L	2334292	2334305	+	726
614	chr2L	2334358	2334370	+	169
615	chr2L	2334443	2334478	+	319
616	chr2L	2335332	2335340	+	89
617	chr2L	2357874	2357888	+	548
618	chr2L	2358090	2358184	+	1455
619	chr2L	2365402	2365419	+	562
620	chr2L	2365459	2365460	+	106
621	chr2L	2366331	2366357	+	275
622	chr2L	2369568	2369716	+	671
623	chr2L	2369915	2369923	+	116
624	chr2L	2370017	2370161	+	1666
625	chr2L	2375660	2375727	+	639
626	chr2L	2376104	2376107	+	144
627	chr2L	2378366	2378369	+	171
628	chr2L	2380280	2380324	+	682
629	chr2L	2380500	2380508	+	109
630	chr2L	2383052	2383084	+	1612
631	chr2L	2384761	2384767	+	127
632	chr2L	2387648	2387700	+	291
633	chr2L	2392101	2392105	+	122
634	chr2L	2396279	2396303	+	360
635	chr2L	2401214	2401222	+	64
636	chr2L	2401768	2401815	+	147
637	chr2L	2407812	2407888	+	280
638	chr2L	2413245	2413302	+	312
639	chr2L	2415489	2415496	+	129
640	chr2L	2418303	2418340	+	88
641	chr2L	2419562	2419565	+	70
642	chr2L	2422517	2422543	+	61
643	chr2L	2422620	2422630	+	194
644	chr2L	2422802	2422839	+	873
645	chr2L	2455306	2455346	+	695
646	chr2L	2458989	2459008	+	92
647	chr2L	2459087	2459097	+	116
648	chr2L	2459494	2459530	+	107
649	chr2L	2459608	2459630	+	104
650	chr2L	2459766	2459834	+	516
651	chr2L	2482230	2482235	+	50
652	chr2L	2485454	2485462	+	193
653	chr2L	2493509	2493513	+	75
654	chr2L	2495966	2495996	+	119
655	chr2L	2496042	2496046	+	61
656	chr2L	2497149	2497389	+	6434
657	chr2L	2498203	2498206	+	361
658	chr2L	2498810	2498846	+	102
659	chr2L	2508025	2508041	+	86
660	chr2L	2518077	2518097	+	142
661	chr2L	2543906	2543917	+	122
662	chr2L	2549298	2549331	+	94
663	chr2L	2552390	2552404	+	697
664	chr2L	2552815	2552850	+	335
665	chr2L	2554243	2554274	+	207
666	chr2L	2564886	2564896	+	422
667	chr2L	2573152	2573176	+	277
668	chr2L	2579125	2579184	+	550
669	chr2L	2580967	2581140	+	14616
670	chr2L	2583320	2583436	+	1119
671	chr2L	2590957	2591038	+	194
672	chr2L	2592670	2592776	+	2357
673	chr2L	2600818	2600824	+	61
674	chr2L	2604757	2604759	+	53
675	chr2L	2605535	2605545	+	427
676	chr2L	2611037	2611310	+	12934
677	chr2L	2618076	2618091	+	337
678	chr2L	2641763	2641804	+	124
679	chr2L	2643419	2643481	+	412
680	chr2L	2646089	2646090	+	240
681	chr2L	2646167	2646332	+	3092
682	chr2L	2647809	2647823	+	148
683	chr2L	2647874	2647875	+	106
684	chr2L	2648075	2648093	+	380
685	chr2L	2648346	2648425	+	382
686	chr2L	2653644	2653657	+	136
687	chr2L	2653711	2653985	+	40216
688	chr2L	2655401	2655535	+	2991
689	chr2L	2655622	2655629	+	278
690	chr2L	2655931	2656245	+	37950
691	chr2L	2657126	2657166	+	322
692	chr2L	2658364	2658368	+	88
693	chr2L	2658996	2658999	+	61
694	chr2L	2659084	2659123	+	546
695	chr2L	2659838	2659880	+	665
696	chr2L	2665331	2665363	+	945
697	chr2L	2665415	2665539	+	670
698	chr2L	2666034	2666299	+	8612
699	chr2L	2672009	2672020	+	96
700	chr2L	2672162	2672207	+	751
701	chr2L	2676116	2676117	+	70
702	chr2L	2677204	2677212	+	137
703	chr2L	2700471	2700515	+	540
704	chr2L	2701435	2701460	+	66
705	chr2L	2701732	2701755	+	69
706	chr2L	2713426	2713444	+	230
707	chr2L	2713959	2714051	+	1374
708	chr2L	2714753	2714756	+	101
709	chr2L	2719267	2719456	+	8502
710	chr2L	2736419	2736427	+	121
711	chr2L	2739609	2739614	+	339
712	chr2L	2739760	2739835	+	1935
713	chr2L	2740108	2740163	+	259
714	chr2L	2743161	2743210	+	107
715	chr2L	2743256	2743383	+	6387
716	chr2L	2745024	2745073	+	219
717	chr2L	2745885	2745942	+	515
718	chr2L	2746080	2746167	+	1012
719	chr2L	2746216	2746298	+	216
720	chr2L	2746348	2746349	+	63
721	chr2L	2746894	2746970	+	541
722	chr2L	2750478	2750489	+	101
723	chr2L	2756252	2756459	+	6840
724	chr2L	2756542	2756669	+	1669
725	chr2L	2756782	2756813	+	209
726	chr2L	2756854	2757011	+	3322
727	chr2L	2757139	2757145	+	263
728	chr2L	2757919	2757927	+	140
729	chr2L	2760817	2760831	+	60
730	chr2L	2763281	2763365	+	2682
731	chr2L	2763526	2763549	+	211
732	chr2L	2766281	2766287	+	212
733	chr2L	2767084	2767287	+	5338
734	chr2L	2768431	2768441	+	78
735	chr2L	2768501	2768613	+	1195
736	chr2L	2769979	2770021	+	208
737	chr2L	2770304	2770400	+	541
738	chr2L	2770465	2770964	+	38367
739	chr2L	2786656	2786666	+	224
740	chr2L	2792411	2792420	+	68
741	chr2L	2797584	2797681	+	1067
742	chr2L	2797774	2797864	+	301
743	chr2L	2798211	2798373	+	1649
744	chr2L	2809209	2809275	+	1099
745	chr2L	2812137	2812147	+	257
746	chr2L	2812497	2812552	+	108
747	chr2L	2814033	2814184	+	4067
748	chr2L	2814244	2814443	+	37510
749	chr2L	2816018	2816029	+	108
750	chr2L	2831199	2831212	+	93
751	chr2L	2838057	2838077	+	1069
752	chr2L	2839544	2839547	+	64
753	chr2L	2842612	2842643	+	54
754	chr2L	2844589	2844601	+	501
755	chr2L	2847273	2847315	+	138
756	chr2L	2848618	2848650	+	158
757	chr2L	2848713	2849063	+	1846
