#Transcript	Name/Description	Gene	Gene Description	DEA Result	Regulated	(1 - Probability)	Probability	Log2FC	Control MeanExpLevel	Test MeanExpLevel
G10007.43	FBtr0083336	Arl6IP1	Arl6IP1	DE	DOWN	0.0	1.0	-18.64	2035.92	0.0
G10007.44	FBtr0083336	Arl6IP1	Arl6IP1	Not DE		0.09859	0.90141	1.11	37.19	80.53
G10007.45	FBtr0333728	Arl6IP1	Arl6IP1	Not DE		0.01022	0.98978	-0.26	8082.59	6756.91
G10007.46	FBtr0333728	Arl6IP1	Arl6IP1	Not DE		0.07044	0.92956	0.86	434.46	790.41
G10007.47	novel	Arl6IP1	Arl6IP1	DE	UP	0.0	1.0	14.37	0.0	105.86
G10007.5	FBtr0083332	Fas1		Not DE		0.07857	0.92143	0.95	276.43	535.74
G10007.52	novel	Arl6IP1	Arl6IP1	Not DE		0.13804	0.86196	-0.5	237.79	168.42
G10007.6	FBtr0083332	Fas1		DE	DOWN	0.0	1.0	-1.87	4736.92	1295.32
G10007.7	FBtr0083332	Fas1		DE	DOWN	0.0	1.0	-3.79	4183.64	303.32
G10007.8	FBtr0083332	Fas1		DE	DOWN	0.0	1.0	-19.99	5196.61	0.0
G10008.3	FBtr0083335	nonA-l		Not DE		6.0E-5	0.99994	-0.79	10479.1	6060.67
G10008.6	FBtr0083335	nonA-l		Not DE		0.10227	0.89773	0.47	665.39	921.52
G10009.2	novel	CG10324		DE	UP	0.0	1.0	3.77	100.84	1377.91
G10009.21	FBtr0083350	Ubx		DE	UP	5.0E-5	0.99995	2.82	149.31	1054.87
G10009.4	FBtr0083356	CG10324		DE	DOWN	0.03789	0.96211	-2.15	177.7	39.96
G10009.7	novel	CG10324		Not DE		0.07462	0.92538	0.54	534.63	775.43
G10010.10	FBtr0302370	CCT3	CCT3	Not DE		0.92976	0.070243	-0.08	373.54	353.46
G10010.11	FBtr0083338	CCT3	CCT3	DE	DOWN	0.02252	0.97748	-1.22	485.66	209.17
G10010.12	FBtr0083338	CCT3	CCT3	Not DE		0.09545	0.90455	0.17	3242.52	3659.77
G10010.13	FBtr0083338	CCT3	CCT3	Not DE		1.5E-4	0.99985	0.99	2546.1	5046.56
G10010.14	FBtr0083338	CCT3	CCT3	Not DE		0.31716	0.68284	0.15	1664.19	1844.95
G10010.6	FBtr0083337	CCT3	CCT3	Not DE		0.32196	0.67804	0.07	6399.87	6710.41
G10010.7	FBtr0302371	CCT3	CCT3	DE	DOWN	0.0447	0.9553	-1.27	305.76	127.22
G10010.8	FBtr0302370	CCT3	CCT3	Not DE		0.06079	0.93921	-1.17	405.47	179.61
G10010.9	FBtr0083337	CCT3	CCT3	DE	DOWN	0.0	1.0	-5.69	4015.77	77.78
G10011.2	FBtr0336486	CG14906		Not DE		0.03586	0.96414	-0.7	775.9	477.01
G10011.4	FBtr0479872	CG14907		Not DE		0.03879	0.96121	-0.6	881.64	581.39
G10015.1	novel	lncRNA_bxd	lncRNA_bxd	DE	UP	0.0	1.0	3.3	354.15	3483.73
G10015.2	novel	lncRNA_bxd	lncRNA_bxd	DE	DOWN	0.0	1.0	-1.03	4460.87	2186.55
G10016.1	FBtr0083346	CG31275		DE	DOWN	0.0	1.0	-1.27	32329.93	13385.16
G1002.1	novel	novelGene_CR43100_AS	novelGene_CR43100_AS	Not DE		0.04225	0.95775	-0.36	1882.29	1470.72
G10020.1	novel	novelGene_lncRNA_CR44945_AS	novelGene_lncRNA_CR44945_AS	DE	UP	0.0	1.0	16.66	0.0	518.52
G10021.1	FBtr0083340	Glut3		DE	DOWN	0.0	1.0	-1.17	8723.38	3886.77
G10021.5	FBtr0083340	Glut3		DE	UP	0.0115	0.9885	1.05	449.47	929.63
G10022.2	novel	novelGene_628	novelGene_628	DE	UP	8.4E-4	0.99916	1.9	210.57	786.44
G10022.3	novel	novelGene_629	novelGene_629	DE	UP	8.2E-4	0.99918	3.0	22.12	177.15
G10025.2	FBtr0300485	abd-A		DE	DOWN	0.0	1.0	-1.38	3753.66	1437.25
G10025.8	FBtr0300485	abd-A		DE	UP	0.0	1.0	16.36	0.0	420.31
G10025.9	FBtr0300485	abd-A		DE	DOWN	0.00161	0.99839	-1.5	1529.32	541.59
G1003.1	FBtr0343422	CR43100		DE	UP	0.03064	0.96936	1.33	48.95	122.73
G1003.3	novel	CR43100_CG14535	CR43100_CG14535	Not DE		0.1149	0.8851	0.53	296.2	428.27
G10032.1	novel	novelGene_630	novelGene_630	DE	UP	8.1E-4	0.99919	1.32	587.84	1467.34
G10034.1	novel	novelGene_631	novelGene_631	DE	UP	0.0	1.0	4.77	26.5	723.28
G10036.10	novel	Abd-B		DE	UP	0.01141	0.98859	3.44	10.84	117.47
G10036.11	novel	Abd-B		DE	UP	0.01314	0.98686	1.44	140.28	380.59
G10036.14	novel	Abd-B		DE	UP	0.0	1.0	16.44	0.0	444.6
G10036.17	novel	Abd-B		DE	UP	0.0	1.0	14.25	0.0	97.72
G10036.18	novel	Abd-B		DE	UP	0.00626	0.99374	2.67	15.3	97.48
G10036.3	FBtr0083384	Abd-B		DE	UP	0.00581	0.99419	1.37	283.37	730.61
G10036.5	FBtr0346764	Abd-B		Not DE		0.01693	0.98307	-0.95	794.04	410.42
G10036.6	FBtr0083381	Abd-B		Not DE		0.19983	0.80017	-0.34	460.89	364.32
G1004.1	FBtr0079526	CG14537		DE	DOWN	0.0	1.0	-1.04	25542.93	12456.97
G10040.10	FBtr0083366	VhaM9.7-d		Not DE		0.02659	0.97341	0.96	372.28	722.06
G10040.6	FBtr0083366	VhaM9.7-d		DE	UP	0.0	1.0	5.25	17.84	680.34
G10040.7	FBtr0083366	VhaM9.7-d		DE	UP	0.00831	0.99169	1.03	579.75	1183.29
G10040.8	FBtr0083366	VhaM9.7-d		Not DE		0.16781	0.83219	-0.65	252.33	160.51
G10040.9	FBtr0083366	VhaM9.7-d		Not DE		0.0	1.0	-0.83	8156.97	4600.05
G10041.1	FBtr0083380	Actn3		DE	UP	8.7E-4	0.99913	1.51	544.82	1552.35
G10041.2	novel	Actn3		DE	UP	0.0	1.0	17.03	0.0	670.21
G10041.3	novel	Actn3		DE	UP	0.0	1.0	19.22	0.0	3046.78
G10041.6	FBtr0083380	Actn3		DE	DOWN	0.0	1.0	-1.18	17403.81	7692.86
G10041.8	FBtr0083380	Actn3		DE	UP	0.0034	0.9966	2.78	111.41	764.96
G10044.1	FBtr0083377	CG18622		Not DE		0.05763	0.94237	0.52	490.73	701.32
G10045.17	FBtr0083370	CG3534		Not DE		0.00548	0.99452	0.73	1865.36	3095.18
G10045.18	FBtr0083370	CG3534		Not DE		0.05184	0.94816	-0.85	940.56	523.61
G10045.24	FBtr0083370	CG3534		DE	UP	0.00359	0.99641	3.46	38.69	424.88
G10046.12	FBtr0083375	EMC2A	EMC2A	Not DE		0.99549	0.0045097	0.0	1640.41	1640.1
G10046.16	FBtr0337063	EMC2A	EMC2A	DE	DOWN	0.00311	0.99689	-1.27	1220.5	505.26
G10046.4	FBtr0337064	EMC2B	EMC2B	Not DE		0.02003	0.97997	-0.5	2132.11	1506.87
G10046.8	FBtr0083376	EMC2B	EMC2B	Not DE		0.17049	0.82951	-0.16	3019.4	2707.64
G10047.1	FBtr0083374	Sf3a1	Sf3a1	Not DE		0.06172	0.93828	0.15	4562.23	5057.28
G10047.2	FBtr0083374	Sf3a1	Sf3a1	DE	UP	0.0	1.0	15.89	0.0	303.32
G10048.2	FBtr0337060	Irc		DE	DOWN	0.0	1.0	-1.9	9746.83	2607.04
G10049.2	FBtr0083373	AdSL		Not DE		0.02406	0.97594	-0.7	835.42	512.53
G10049.3	FBtr0083373	AdSL		Not DE		0.02392	0.97608	0.72	501.37	826.83
G10049.4	FBtr0083373	AdSL		DE	UP	0.0	1.0	15.68	0.0	262.68
G10049.5	FBtr0083373	AdSL		DE	DOWN	0.01926	0.98074	-1.04	618.52	299.81
G10052.1	novel	CG31268		DE	UP	0.0	1.0	7.34	21.79	3542.11
G10053.1	FBtr0305129	CG18213		Not DE		0.16145	0.83855	0.33	667.68	838.78
G10053.3	novel	CG18213		DE	UP	0.0	1.0	15.2	0.0	188.42
G10053.5	FBtr0305129	CG18213		DE	UP	0.00185	0.99815	2.73	109.04	724.4
G10053.9	FBtr0305129	CG18213		Not DE		0.01607	0.98393	0.63	1061.05	1647.16
G10054.2	FBtr0083391	CG5220		Not DE		0.00597	0.99403	0.42	3562.59	4773.87
G10055.12	novel	CG3995		DE	UP	0.0	1.0	2.64	288.5	1798.86
G10055.8	FBtr0083428	CG3995		Not DE		0.88923	0.11077	0.04	880.68	906.29
G10056.12	novel	Patr-1		DE	UP	3.0E-5	0.99997	5.26	26.67	1025.2
G10056.15	novel	Patr-1		DE	UP	5.0E-5	0.99995	5.41	20.5	872.82
G10056.27	FBtr0083392	Patr-1		DE	UP	0.00197	0.99803	4.11	25.37	438.07
G10056.29	FBtr0083392	Patr-1		DE	DOWN	0.0	1.0	-15.25	194.93	0.0
G10056.31	FBtr0083392	Patr-1		DE	UP	0.00313	0.99687	2.6	128.33	775.73
G10056.35	FBtr0083392	Patr-1		DE	UP	0.01199	0.98801	1.88	194.04	714.09
G10056.39	FBtr0083392	Patr-1		DE	UP	0.0	1.0	10.54	0.17	252.55
G10056.6	FBtr0083392	Patr-1		Not DE		0.09944	0.90056	-0.14	3231.47	2924.08
G10056.7	FBtr0083392	Patr-1		DE	DOWN	0.0	1.0	-16.91	617.22	0.0
G10056.8	FBtr0083392	Patr-1		DE	DOWN	0.0	1.0	-14.74	136.97	0.0
G10056.9	FBtr0339155	Patr-1		Not DE		0.21529	0.78471	-0.25	698.46	586.68
G10057.10	novel	Dad		DE	DOWN	0.02977	0.97023	-1.47	182.32	65.78
G10057.13	FBtr0083394	Dad		Not DE		0.07602	0.92398	-0.72	382.65	232.23
G10057.17	novel	Dad		DE	UP	0.00327	0.99673	2.71	54.42	355.19
G10057.18	novel	Dad		DE	UP	0.00447	0.99553	4.52	4.21	96.81
G10057.2	novel	Dad		DE	UP	0.00361	0.99639	1.92	107.75	408.86
G10057.3	novel	Dad		DE	UP	3.0E-5	0.99997	5.58	16.17	773.34
G10057.6	FBtr0100160	Dad		DE	DOWN	0.0	1.0	-10.94	300.48	0.15
G10057.8	FBtr0100160	Dad		DE	DOWN	0.00135	0.99865	-1.35	1478.35	578.41
G10058.1	FBtr0083426	Ns1		Not DE		0.00183	0.99817	0.5	2585.85	3663.57
G10059.1	FBtr0089894	mRpS11		Not DE		0.01871	0.98129	-0.46	1921.6	1395.5
G10059.10	novel	kuk		DE	UP	0.0	1.0	4.16	311.51	5570.54
G10059.12	FBtr0083397	kuk		DE	DOWN	4.8E-4	0.99952	-1.43	1719.26	637.87
G10059.13	FBtr0083397	kuk		DE	DOWN	0.0	1.0	-16.96	638.08	0.0
G10059.15	FBtr0305987	kuk		Not DE		0.57999	0.42001	-0.14	491.36	445.07
G10059.16	novel	kuk		Not DE		0.17675	0.82325	-0.47	242.7	175.33
G10059.18	novel	kuk		DE	DOWN	0.0	1.0	-2.84	1399.7	195.13
G10059.19	FBtr0083398	kuk		DE	DOWN	0.00178	0.99822	-1.66	1714.74	540.82
G10059.2	FBtr0089894	mRpS11		DE	UP	1.5E-4	0.99985	1.79	559.58	1937.92
G10059.20	FBtr0083398	kuk		DE	DOWN	0.0	1.0	-17.8	1144.92	0.0
G10059.21	novel	kuk		Not DE		0.85279	0.14721	0.1	160.14	171.76
G10059.9	novel	kuk		DE	UP	0.01144	0.98856	1.28	244.46	593.48
G1006.2	novel	CG7102		DE	UP	1.1E-4	0.99989	3.47	56.16	624.39
G1006.3	FBtr0079560	SmE		Not DE		0.01226	0.98774	0.32	3574.4	4455.59
G10060.12	FBtr0083423	Keap1		DE	UP	0.04444	0.95556	1.44	87.59	237.04
G10060.5	FBtr0083423	Keap1		DE	UP	0.01307	0.98693	1.11	318.96	686.23
G10061.10	FBtr0083399	GckIII		DE	UP	0.0	1.0	17.24	0.0	776.66
G10061.16	FBtr0083400	cal1		DE	DOWN	0.04019	0.95981	-1.57	299.2	100.78
G10061.17	FBtr0083400	cal1		Not DE		0.21496	0.78504	0.21	849.43	982.93
G10061.18	FBtr0083400	cal1		DE	DOWN	0.00141	0.99859	-5.84	495.03	8.62
G10061.2	FBtr0083399	GckIII		Not DE		0.00113	0.99887	-0.48	10028.53	7171.67
G10061.21	FBtr0083400	cal1		DE	UP	0.00798	0.99202	1.68	354.37	1134.58
G10061.25	FBtr0083400	cal1		Not DE		4.0E-5	0.99996	0.85	2704.72	4877.33
G10061.26	novel	cal1		DE	UP	0.0	1.0	16.65	0.0	514.99
G10061.28	FBtr0083400	cal1		DE	UP	0.0036	0.9964	1.27	565.23	1360.62
G10061.34	FBtr0083400	cal1		DE	UP	0.0	1.0	17.87	0.0	1197.04
G10062.1	FBtr0089471	cher		DE	DOWN	0.0	1.0	-1.11	6351.52	2948.65
G10062.11	FBtr0089471	cher		DE	UP	0.0	1.0	16.5	0.04	3947.57
G10062.16	FBtr0089471	cher		DE	UP	0.0	1.0	13.65	0.3	3892.25
G10062.21	FBtr0089471	cher		Not DE		0.1127	0.8873	0.47	1249.58	1733.84
G10062.23	FBtr0089471	cher		DE	UP	0.0	1.0	10.4	0.09	114.82
G10062.24	FBtr0089471	cher		Not DE		0.92696	0.073038	-0.12	89.62	82.5
G10065.1	novel	cher_asRNA_CR44238	cher_asRNA_CR44238	DE	UP	0.00861	0.99139	1.82	62.62	220.55
G10065.3	FBtr0337099	asRNA_CR44238	asRNA_CR44238	DE	UP	0.0	1.0	16.29	0.0	401.44
G10065.5	novel	CG17477_asRNA_CR44238	CG17477_asRNA_CR44238	DE	UP	0.01172	0.98828	2.04	43.89	180.48
G10065.7	FBtr0337099	asRNA_CR44238	asRNA_CR44238	Not DE		6.6E-4	0.99934	0.89	1243.95	2307.51
G10065.8	novel	CG17477_asRNA_CR44238	CG17477_asRNA_CR44238	DE	UP	0.0132	0.9868	1.41	121.1	322.39
G10065.9	FBtr0337099	asRNA_CR44238	asRNA_CR44238	DE	DOWN	0.00597	0.99403	-1.41	753.11	282.65
G10066.2	FBtr0113401	CG31269_CG31265	CG31269_CG31265	DE	UP	0.0	1.0	17.56	0.0	965.91
G10066.4	FBtr0113401	CG31269_CG31265	CG31269_CG31265	DE	UP	0.00424	0.99576	1.86	177.53	646.4
G10066.6	FBtr0083402	CG31265		DE	UP	0.00608	0.99392	1.39	258.74	678.22
G10069.10	FBtr0083407	CG5265		Not DE		0.21899	0.78101	0.14	2564.52	2823.5
G10069.11	FBtr0083407	CG5265		Not DE		0.08846	0.91154	-0.9	304.55	163.51
G10069.12	FBtr0083407	CG5265		DE	UP	0.0	1.0	17.15	0.0	729.49
G10069.4	FBtr0083407	CG5265		DE	DOWN	0.0	1.0	-4.41	3391.3	159.72
G10069.5	FBtr0083407	CG5265		DE	DOWN	0.0	1.0	-3.14	16056.61	1825.65
G10070.17	FBtr0083414	m-cup		DE	UP	0.0	1.0	18.88	0.0	2419.2
G10070.19	FBtr0083414	m-cup		Not DE		0.0	1.0	-0.94	39336.57	20497.8
G10070.24	novel	m-cup		DE	DOWN	0.0	1.0	-2.02	2353.33	582.02
G10070.25	novel	m-cup		Not DE		0.1722	0.8278	-0.34	700.71	555.33
G10070.3	FBtr0083414	m-cup		Not DE		0.03907	0.96093	-0.82	435.55	247.57
G10070.5	FBtr0083414	m-cup		Not DE		0.00347	0.99653	-0.33	7660.89	6114.8
G10075.1	FBtr0334402	Mur89F		DE	UP	0.0	1.0	3.92	80.76	1224.45
G10075.7	novel	Mur89F		DE	UP	1.9E-4	0.99981	4.07	15.91	266.42
G10076.1	novel	novelGene_632	novelGene_632	DE	UP	0.0	1.0	4.09	157.9	2680.22
G10078.6	novel	novelGene_633	novelGene_633	DE	UP	0.0	1.0	9.15	1.14	647.05
G10079.10	novel	beat-IIb		DE	UP	0.0	1.0	7.71	3.74	784.29
G10079.13	novel	beat-IIb		DE	UP	9.0E-4	0.9991	6.47	1.43	126.56
G10079.14	novel	lncRNA_CR44258_beat-IIb	lncRNA_CR44258_beat-IIb	DE	UP	0.0	1.0	4.27	48.55	936.64
G10079.15	novel	beat-IIb		DE	UP	0.0	1.0	14.76	0.0	139.12
G10079.17	novel	lncRNA_CR44258	lncRNA_CR44258	DE	UP	0.0	1.0	18.44	0.0	1781.06
G10079.9	novel	beat-IIb		DE	UP	0.0	1.0	5.84	23.05	1320.8
G1008.4	novel	Snoo		DE	DOWN	0.00149	0.99851	-2.12	810.36	186.56
G1008.7	novel	Snoo		DE	DOWN	0.0	1.0	-1.58	2458.58	825.05
G10082.3	FBtr0339169	lncRNA_CR44256	lncRNA_CR44256	Not DE		0.03773	0.96227	0.84	239.78	429.35
G10087.3	FBtr0302317	Brf		Not DE		0.04301	0.95699	0.33	1380.97	1738.91
G10087.4	FBtr0302317	Brf		Not DE		0.01393	0.98607	0.88	522.42	963.53
G10088.1	FBtr0083435	lute		DE	DOWN	0.00143	0.99857	-1.0	2351.59	1174.76
G10088.2	FBtr0083435	lute		Not DE		0.93391	0.066089	-0.02	1935.82	1911.64
G1009.1	novel	novelGene_58	novelGene_58	Not DE		0.02426	0.97574	-0.95	481.04	248.53
G1009.2	novel	novelGene_59	novelGene_59	DE	UP	0.0	1.0	13.96	0.0	79.58
G1009.4	novel	novelGene_61	novelGene_61	DE	UP	0.0	1.0	3.78	67.1	924.17
G10091.3	FBtr0083436	sds22		Not DE		0.03512	0.96488	-0.36	2751.04	2142.57
G10091.4	FBtr0083436	sds22		DE	DOWN	0.0	1.0	-2.14	3026.65	686.6
G10091.5	FBtr0083436	sds22		Not DE		0.05218	0.94782	0.46	714.79	983.47
G10092.1	FBtr0336488	asRNA_CR44160	asRNA_CR44160	Not DE		0.09323	0.90677	-0.46	550.29	399.41
G10093.2	FBtr0089897	CREG		DE	DOWN	0.0	1.0	-2.39	1573.28	300.07
G10093.3	FBtr0089896	CREG		DE	DOWN	0.03353	0.96647	-1.02	406.55	200.04
G10093.4	FBtr0089897	CREG		DE	DOWN	0.00134	0.99866	-2.05	1177.08	283.36
G10094.1	FBtr0083448	Sur-8		DE	DOWN	0.00135	0.99865	-1.98	1544.9	390.99
G10094.10	FBtr0339532	Sur-8		DE	UP	0.0	1.0	17.99	0.0	1298.45
G10094.4	FBtr0339532	Sur-8		Not DE		9.5E-4	0.99905	0.57	5019.1	7474.52
G10095.1	novel	novelGene_Sur-8_AS	novelGene_Sur-8_AS	DE	DOWN	0.00498	0.99502	-1.81	442.29	126.07
G10096.2	novel	novelGene_Sur-8_AS	novelGene_Sur-8_AS	DE	UP	9.0E-4	0.9991	3.68	18.17	233.47
G10097.1	FBtr0112474	CG34279		DE	DOWN	0.0	1.0	-4.48	2540.18	114.06
G10097.2	novel	CG42823_CG34279	CG42823_CG34279	DE	UP	4.0E-5	0.99996	3.33	57.47	577.51
G10097.3	novel	CG42823		DE	UP	0.0	1.0	6.79	8.54	941.42
G10098.3	FBtr0083437	CG17283		DE	UP	0.0	1.0	5.73	18.83	999.53
G10099.1	FBtr0083438	CG5860		DE	DOWN	2.0E-4	0.9998	-1.29	2909.91	1190.66
G10099.13	FBtr0303829	CG42822		Not DE		0.03611	0.96389	-0.63	1086.67	701.91
G10099.5	novel	CG42821_CG42822_CG5860_CG5863	CG42821_CG42822_CG5860_CG5863	Not DE		0.91062	0.089383	-0.03	1261.7	1236.94
G10100.1	FBtr0083441	CG33333		Not DE		0.079	0.921	-0.39	906.88	693.11
G10101.12	FBtr0083442	cysu	cysu	DE	UP	0.0	1.0	4.87	15.87	462.87
G10102.1	FBtr0347259	lncRNA_CR46052	lncRNA_CR46052	Not DE		0.15268	0.84732	0.44	197.34	267.08
G10104.1	novel	Eh		DE	UP	0.0	1.0	5.56	7.71	363.98
G10105.1	FBtr0083443	CG14330		DE	DOWN	0.0	1.0	-3.17	839.98	93.57
G10107.2	FBtr0113398	Dscam3		DE	UP	0.0	1.0	3.82	76.21	1079.72
G10108.1	novel	novelGene_Dscam3_AS	novelGene_Dscam3_AS	DE	UP	7.3E-4	0.99927	3.25	27.6	262.07
G10109.11	FBtr0083456	SF1		Not DE		0.00529	0.99471	-0.8	1614.54	925.68
G10109.12	novel	SF1		DE	DOWN	0.00934	0.99066	-1.54	438.28	151.1
G10109.13	novel	SF1		DE	DOWN	0.00563	0.99437	-1.53	670.4	232.8
G10109.14	FBtr0083456	SF1		Not DE		0.08738	0.91262	0.24	1814.93	2137.23
G10109.5	FBtr0331707	SF1		Not DE		0.39311	0.60689	0.16	639.39	713.61
G10109.6	novel	SF1		DE	DOWN	0.00248	0.99752	-2.93	260.95	34.25
G10109.8	novel	SF1		Not DE		0.07843	0.92157	-0.75	214.96	127.49
G10109.9	FBtr0331706	SF1		DE	DOWN	0.0011	0.9989	-2.25	704.74	148.36
G1011.2	novel	CG7231		DE	UP	4.5E-4	0.99955	2.15	230.99	1025.99
G1011.7	FBtr0079531	CG7231		Not DE		0.00716	0.99284	-0.88	1105.73	600.99
G10110.1	novel	novelGene_634	novelGene_634	DE	UP	2.0E-5	0.99998	5.25	9.49	360.12
G10112.2	novel	lncRNA_CR44349	lncRNA_CR44349	Not DE		0.11453	0.88547	0.68	81.91	130.88
G10112.3	novel	lncRNA_CR44349	lncRNA_CR44349	Not DE		0.02373	0.97627	0.8	323.32	564.84
G10113.2	novel	novelGene_635	novelGene_635	DE	UP	0.0	1.0	15.64	0.0	254.53
G10113.3	novel	novelGene_636	novelGene_636	DE	UP	0.0	1.0	6.1	10.5	719.19
G10113.5	novel	novelGene_637	novelGene_637	DE	UP	0.0	1.0	9.88	0.67	627.08
G10114.5	FBtr0083454	P5cr-2		DE	UP	0.0	1.0	2.51	442.52	2519.14
G10115.1	novel	CG5823		DE	DOWN	0.02009	0.97991	-2.32	179.03	35.88
G10115.11	FBtr0083505	CG5823		Not DE		0.99827	0.0017341	-0.01	4746.1	4722.0
G10115.12	FBtr0321266	CG5823		Not DE		0.00113	0.99887	-0.64	7228.17	4653.39
G10115.13	novel	CG5823		Not DE		0.71805	0.28195	0.13	339.49	372.58
G10115.15	FBtr0083505	CG5823		Not DE		0.33571	0.66429	-0.3	1363.64	1111.44
G10115.17	FBtr0321266	CG5823		Not DE		3.6E-4	0.99964	-0.71	11093.81	6765.99
G10115.4	novel	CG5823		Not DE		0.68624	0.31376	-0.14	340.69	308.37
G10115.8	FBtr0083505	CG5823		DE	DOWN	0.0	1.0	-11.06	299.55	0.14
G10116.1	FBtr0347218	l(3)07882		DE	UP	0.0	1.0	3.09	156.31	1334.3
G10116.11	FBtr0083504	l(3)07882		DE	UP	0.00822	0.99178	1.45	187.25	510.47
G10116.14	FBtr0083504	l(3)07882		Not DE		0.26314	0.73686	0.15	1293.1	1435.56
G10116.15	novel	l(3)07882		DE	DOWN	0.01582	0.98418	-1.99	252.54	63.52
G10116.16	FBtr0083504	l(3)07882		DE	DOWN	0.0	1.0	-14.94	157.32	0.0
G10116.17	novel	novelGene_SF1_AS	novelGene_SF1_AS	DE	DOWN	0.0	1.0	-3.28	1155.1	119.24
G10116.7	FBtr0083504	l(3)07882		DE	UP	5.8E-4	0.99942	3.01	127.01	1025.08
G10117.2	FBtr0083503	Prx3		Not DE		0.00114	0.99886	-0.52	6166.55	4306.52
G10118.3	FBtr0330385	Hmx		DE	UP	0.0	1.0	6.46	4.94	434.85
G10118.5	novel	Hmx		DE	UP	0.00302	0.99698	2.28	50.79	247.24
